,codes,id,id_region,insee,label,label_region,lat,lon,name,region,timezone,zip_code
1014,"[{'type': 'CR-CI-CH', 'value': '0087-615112-00'}]",stop_area:OCE:SA:87615112,admin:72955extern,11203,Lézignan-Corbières (Lézignan-Corbières),Lézignan-Corbières (11200),43.19996,2.769863,Lézignan-Corbières,Lézignan-Corbières,Europe/Paris,11200
1015,"[{'type': 'CR-CI-CH', 'value': '0087-615120-00'}]",stop_area:OCE:SA:87615120,admin:1952504extern,11102,Couffoulens-Leuc (Couffoulens),Couffoulens (11250),43.155159,2.316939,Couffoulens-Leuc,Couffoulens,Europe/Paris,11250
1016,"[{'type': 'CR-CI-CH', 'value': '0087-615138-00'}]",stop_area:OCE:SA:87615138,admin:2180240extern,11201,Verzeille (Leuc),Leuc (11250),43.130407,2.321229,Verzeille,Leuc,Europe/Paris,11250
1017,"[{'type': 'CR-CI-CH', 'value': '0087-615146-00'}]",stop_area:OCE:SA:87615146,admin:1954942extern,11293,Pomas (Pomas),Pomas (11250),43.11216,2.288395,Pomas,Pomas,Europe/Paris,11250
1018,"[{'type': 'CR-CI-CH', 'value': '0087-615161-BV'}]",stop_area:OCE:SA:87615161,admin:37775extern,11206,Limoux (Limoux),Limoux (11300),43.056463,2.223011,Limoux,Limoux,Europe/Paris,11300
1019,"[{'type': 'CR-CI-CH', 'value': '0087-615187-00'}]",stop_area:OCE:SA:87615187,admin:2253673extern,11008,Alet-les-Bains (Alet-les-Bains),Alet-les-Bains (11580),42.9972,2.251864,Alet-les-Bains,Alet-les-Bains,Europe/Paris,11580
1020,"[{'type': 'CR-CI-CH', 'value': '0087-615195-00'}]",stop_area:OCE:SA:87615195,admin:135628extern,81004,Albi-Madeleine. (Albi),Albi (81000),43.937888,2.141172,Albi-Madeleine.,Albi,Europe/Paris,81000
1021,"[{'type': 'CR-CI-CH', 'value': '0087-615203-00'}]",stop_area:OCE:SA:87615203,admin:78134extern,11240,Couiza-Montazels (Montazels),Montazels (11190),42.942589,2.248338,Couiza-Montazels,Montazels,Europe/Paris,11190
1022,"[{'type': 'CR-CI-CH', 'value': '0087-615211-00'}]",stop_area:OCE:SA:87615211,admin:2255972extern,11129,Esperaza (Espéraza),Espéraza (11260),42.935805,2.218042,Esperaza,Espéraza,Europe/Paris,11260
1023,"[{'type': 'CR-CI-CH', 'value': '0087-615229-00'}]",stop_area:OCE:SA:87615229,admin:223129extern,11063,Campagne-sur-Aude (Campagne-sur-Aude),Campagne-sur-Aude (11260),42.916233,2.204285,Campagne-sur-Aude,Campagne-sur-Aude,Europe/Paris,11260
1024,"[{'type': 'CR-CI-CH', 'value': '0087-615245-00'}]",stop_area:OCE:SA:87615245,admin:135680extern,81099,Tessonnières (Gaillac),Gaillac (81600),43.928385,1.937415,Tessonnières,Gaillac,Europe/Paris,81600
1025,"[{'type': 'CR-CI-CH', 'value': '0087-615252-BV'}]",stop_area:OCE:SA:87615252,admin:135680extern,81099,Gaillac (Gaillac),Gaillac (81600),43.905951,1.894824,Gaillac,Gaillac,Europe/Paris,81600
1026,"[{'type': 'CR-CI-CH', 'value': '0087-615260-00'}]",stop_area:OCE:SA:87615260,admin:164179extern,34100,Quillan (Ferrières-Poussarou),Ferrières-Poussarou (34360),43.473914,2.91828,Quillan,Ferrières-Poussarou,Europe/Paris,34360
1027,"[{'type': 'CR-CI-CH', 'value': '0087-615286-00'}]",stop_area:OCE:SA:87615286,admin:37774extern,11069,Carcassonne (Carcassonne),Carcassonne (11000),43.217702,2.351892,Carcassonne,Carcassonne,Europe/Paris,11000
1028,"[{'type': 'CR-CI-CH', 'value': '0087-615310-00'}]",stop_area:OCE:SA:87615310,admin:135639extern,81145,Lisle-sur-Tarn (Lisle-sur-Tarn),Lisle-sur-Tarn (81310),43.856217,1.807748,Lisle-sur-Tarn,Lisle-sur-Tarn,Europe/Paris,81310
1029,"[{'type': 'CR-CI-CH', 'value': '0087-615328-00'}]",stop_area:OCE:SA:87615328,admin:1449744extern,81070,Rabastens-Couffouleux (Coufouleux),Coufouleux (81800),43.819477,1.730765,Rabastens-Couffouleux,Coufouleux,Europe/Paris,81800
1030,"[{'type': 'CR-CI-CH', 'value': '0087-615344-00'}]",stop_area:OCE:SA:87615344,admin:144552extern,81271,St-Sulpice (Tarn) (Saint-Sulpice-la-Pointe),Saint-Sulpice-la-Pointe (81370),43.775399,1.681039,St-Sulpice (Tarn),Saint-Sulpice-la-Pointe,Europe/Paris,81370
1031,"[{'type': 'CR-CI-CH', 'value': '0087-615351-00'}]",stop_area:OCE:SA:87615351,admin:156882extern,31094,Roqueserière-Buzet (Buzet-sur-Tarn),Buzet-sur-Tarn (31660),43.75063,1.618242,Roqueserière-Buzet,Buzet-sur-Tarn,Europe/Paris,31660
1032,"[{'type': 'CR-CI-CH', 'value': '0087-615369-00'}]",stop_area:OCE:SA:87615369,admin:161430extern,31358,Montastruc-la-Conseil. (Montastruc-la-Conseillère),Montastruc-la-Conseillère (31380),43.715984,1.597895,Montastruc-la-Conseil.,Montastruc-la-Conseillère,Europe/Paris,31380
1033,"[{'type': 'CR-CI-CH', 'value': '0087-615377-00'}]",stop_area:OCE:SA:87615377,admin:161421extern,31228,Gragnague (Gragnague),Gragnague (31380),43.695781,1.567569,Gragnague,Gragnague,Europe/Paris,31380
1034,"[{'type': 'CR-CI-CH', 'value': '0087-615419-00'}]",stop_area:OCE:SA:87615419,admin:135620extern,81156,Marssac-sur-Tarn (Marssac-sur-Tarn),Marssac-sur-Tarn (81150),43.915084,2.026764,Marssac-sur-Tarn,Marssac-sur-Tarn,Europe/Paris,81150
1035,"[{'type': 'CR-CI-CH', 'value': '0087-615468-BV'}]",stop_area:OCE:SA:87615468,admin:135627extern,81065,Castres (Castres),Castres (81100),43.597742,2.229269,Castres,Castres,Europe/Paris,81100
