Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11
1	-3.663244867752849	0.5	0.75	-8.0	-3.1526353526642494	-8.0	9.113498849918235	-8.0	-8.0	-3.7322817919902542	-2.6390191352344425	2.1780280406604247
0	-5.8412729084132735	0.5	0.75	-8.0	-2.849897100911557	-8.0	9.138100035725559	-8.0	-8.0	-3.1407329359600893	-2.32235323600653	3.4803750713794432
1	-2.7976534172077585	1.0	1.0	-8.0	-1.3967401971283187	-8.0	6.4623979978989565	-8.0	-8.0	-1.3967401971283187	-1.3967401971283187	228.69127668187585
0	-231.4889300990836	1.0	1.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	0.8586616190375196
1	-17.491526570388473	0.3333333333333333	1.0	-8.0	-3.3119464896326787	-8.0	9.04219806389865	-8.0	-8.0	-3.974720437602216	-2.4616048724540955	0.44586470671902845
0	-17.9373912771075	0.3333333333333333	1.0	-8.0	-3.3657060499074802	-8.0	8.984489790391159	-8.0	-8.0	-4.13599911842662	-2.4616048724540955	6.121359305463763
1	-3.296386199086073	0.6666666666666666	0.6666666666666666	-8.0	-1.7613820535368092	-8.0	7.870719203235485	-8.0	-8.0	-2.8651867642070386	-0.6575773428665799	3.099395195438195
0	-6.395781394524268	0.6666666666666666	0.6666666666666666	-8.0	-1.7613820535368092	-8.0	7.870719203235485	-8.0	-8.0	-2.8651867642070386	-0.6575773428665799	6.783118406265925
0	-10.719761492415401	0.4	0.8	-8.0	-2.8113217129980637	-8.0	9.55598254923901	-8.0	-8.0	-3.1407329359600893	-2.4637851114560023	0.015600333466938565
0	-10.73536182588234	0.4	0.8	-8.0	-2.8113217129980637	-8.0	9.55598254923901	-8.0	-8.0	-3.1407329359600893	-2.4637851114560023	1.4475496822105995
0	-2.816765066866908	0.5	0.75	-8.0	-2.526899952123187	-8.0	6.981418531741757	-8.0	-8.0	-2.816077312825419	-2.2987454695314127	1.5848055664722245
0	-4.401570633339133	0.5	0.75	-8.0	-2.526899952123187	-8.0	6.981418531741757	-8.0	-8.0	-2.816077312825419	-2.2987454695314127	1.484730620154818
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.9424586649187776	-8.0	8.370824222107444	-8.0	-8.0	-3.2072225689135054	-2.754966661635789	3.099395195438194
0	-7.330735802241622	0.3333333333333333	1.0	-8.0	-2.9424586649187776	-8.0	8.370824222107444	-8.0	-8.0	-3.2072225689135054	-2.754966661635789	1.9686561908795293
1	-1.0455155662990423	0.5	1.0	-8.0	-3.1171917338919077	-8.0	6.3529318561419705	-8.0	-8.0	-3.342116923084179	-2.8922665446996363	5.741987082718236
0	-6.787502649017278	0.5	1.0	-8.0	-3.1171917338919077	-8.0	6.3529318561419705	-8.0	-8.0	-3.342116923084179	-2.8922665446996363	10.144161617169871
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.9753681486908974	-8.0	8.028147980907368	-8.0	-8.0	-3.2072225689135054	-2.8536951129521477	3.099395195438194
0	-7.330735802241622	0.3333333333333333	1.0	-8.0	-2.9753681486908974	-8.0	8.028147980907368	-8.0	-8.0	-3.2072225689135054	-2.8536951129521477	11.623685914491904
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.8081969588277214	-8.0	8.170137558331458	-8.0	-8.0	-3.2072225689135054	-2.352181543362619	2.380997131228389
0	-6.612337738031817	0.3333333333333333	1.0	-8.0	-3.328740539401728	-8.0	8.251150241226888	-8.0	-8.0	-3.9138122850846395	-2.8651867642070386	0.7183980642098051
1	-4.117679202337948	0.5	0.75	-8.0	-2.490241543117625	-8.0	7.704727694499087	-8.0	-8.0	-3.207597791329691	-1.3979400738161452	2.9301988318325813
0	-7.047878034170529	0.5	0.75	-8.0	-3.007460213836547	-8.0	8.102097564112817	-8.0	-8.0	-3.2072225689135054	-2.8651867642070386	0.16919636360561263
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.90902171058145	-8.0	7.969450894555476	-8.0	-8.0	-3.2072225689135054	-2.654655798623806	3.099395195438194
0	-7.330735802241622	0.3333333333333333	1.0	-8.0	-2.90902171058145	-8.0	7.969450894555476	-8.0	-8.0	-3.2072225689135054	-2.654655798623806	11.623685914491904
1	-1.6057953565071914	1.0	0.5	-8.0	-3.5885978193194648	-8.0	6.690196080028514	-8.0	-8.0	-3.5885978193194648	-3.5885978193194648	2.9275240146169876
0	-4.533319371124179	1.0	0.5	-8.0	-3.5885978193194648	-8.0	6.690196080028514	-8.0	-8.0	-3.5885978193194648	-3.5885978193194648	6.489547055608501
1	-1.871648604986022	0.5	1.0	-8.0	-2.3921757302878994	-8.0	6.938224393439171	-8.0	-8.0	-2.4142096318037605	-2.370141828772039	2.1541686837453735
0	-4.025817288731395	0.5	1.0	-8.0	-2.3921757302878994	-8.0	6.938224393439171	-8.0	-8.0	-2.4142096318037605	-2.370141828772039	227.5975460405552
1	-2.611125773690873	0.8	0.4	-8.0	-2.2914978758863835	-8.0	6.581580687488509	-8.0	-8.0	-2.3984063725263636	-2.184589379246403	1.7600728638372423
0	-4.371198637528115	0.2	1.0	-8.0	-2.6678150468091393	-8.0	8.984547611285306	-8.0	-8.0	-3.070807151856519	-2.372831043971827	0.5404489546816817
1	-2.1496030296814426	0.5	1.0	-8.0	-2.5556152760485267	-8.0	6.967501575726827	-8.0	-8.0	-2.641423838136997	-2.4698067139600566	1.3933268907089502
0	-3.542929920390393	0.5	1.0	-8.0	-2.5556152760485267	-8.0	6.967501575726827	-8.0	-8.0	-2.641423838136997	-2.4698067139600566	227.40872655957412
