Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12
1	-3.61320986340826	0	1.0	-8	-3.06298874679756	-3.19342931706509	13.0768484062512	-5.58947592548175	-1.86228502978986	-3.38557432921734	-2.64244732118761	-5.82643440046695	0
0	-5.82643440046695	0	1.0	-8	-3.06298874679756	-3.19342931706509	13.0768484062512	-5.58947592548175	-1.86228502978986	-3.38557432921734	-2.64244732118761	-9.31780885944224	0
1	-2.86929529686629	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-231.488930099084	0
0	-231.488930099084	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-232.347591718121	0
1	-13.2470193427556	0	1.0	-8	-3.41786738530952	-2.56705035376342	12.3768355848482	-6.78783081240315	-0.301029987098729	-4.11614964689037	-2.6438895342078	-13.6406836590685	0
0	-13.6406836590685	0	1.0	-8	-3.41786738530952	-2.56705035376342	12.3768355848482	-6.78783081240315	-0.301029987098729	-4.11614964689037	-2.6438895342078	-24.1549013306051	0
1	-17.5410601534038	0	1.0	-8	-5.1531483418469	-3.59154845397434	5.51013513163077	-8.0	-1.10748832852378	-8.0	-3.49356297483039	-17.9347244697167	0
0	-17.9347244697167	0	1.0	-8	-5.1531483418469	-3.59154845397434	5.51013513163077	-8.0	-1.10748832852378	-8.0	-3.49356297483039	-24.5274623951741	0
1	-13.3627275946724	0	1.0	-8	-4.41420107983894	-4.11013962421001	6.22056935175771	-8.0	-2.08941293513775	-8.0	-2.58540206549216	-13.7563919109853	0
0	-13.7563919109853	0	1.0	-8	-4.41420107983894	-4.11013962421001	6.22056935175771	-8.0	-2.08941293513775	-8.0	-2.58540206549216	-29.7205159293026	0
1	-3.29548432445647	0	0.666666666666667	-8	-5.51313196468335	-5.39283249252125	1.99038788698131	-8.0	-2.78566498504251	-8.0	-3.0262639293667	-6.39638702930554	0
0	-6.39638702930554	0	0.666666666666667	-8	-5.51313196468335	-5.39283249252125	1.99038788698131	-8.0	-2.78566498504251	-8.0	-3.0262639293667	-13.0993758968099	0
1	-4.23043873217383	0	1.0	-8	-4.54903631109713	-4.19056227436016	4.62573667981723	-8.0	-2.11372001577012	-8.0	-2.78299522031056	-7.33134143702289	0
0	-7.33134143702289	0	1.0	-8	-4.54903631109713	-4.19056227436016	4.62573667981723	-8.0	-2.11372001577012	-8.0	-2.78299522031056	-8.57457127926486	0
1	-0.964488121962966	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-6.79017422355785	0
0	-6.79017422355785	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-18.1628232108172	0
1	-4.23043873217383	0	1.0	-8	-4.57260294130251	-4.38689409677681	4.2924033464839	-8.0	-2.45796680731035	-8.0	-2.85369511092667	-7.33134143702289	0
0	-7.33134143702289	0	1.0	-8	-4.57260294130251	-4.38689409677681	4.2924033464839	-8.0	-2.45796680731035	-8.0	-2.85369511092667	-18.9654126362613	0
0	-7.67815231132815	0	0.75	-8	-2.0501548536354	-2.03104805832684	11.9173764799837	-4.12964209089897	-0.154901953998684	-3.14197935214871	-0.268845304394147	-8.96058970511718	0
0	-8.96058970511718	0	0.75	-8	-2.0501548536354	-2.03104805832684	11.9173764799837	-4.12964209089897	-0.154901953998684	-3.14197935214871	-0.268845304394147	-10.4096677983643	0
