Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12
1	-13.4741233569091	0	1.0	-8	-3.36221798226393	-1.23683500905844	12.3936154762467	-2.87098558696651	0.626193671947645	-3.9658820507103	-2.72133327556698	-13.8677876732221	0
0	-13.8677876732221	0	1.0	-8	-3.36221798226393	-1.23683500905844	12.3936154762467	-2.87098558696651	0.626193671947645	-3.9658820507103	-2.72133327556698	-25.7991815105936	0
0	-10.7034937965484	0	0.8	-8	-3.01849776525192	-2.30684543093386	12.6886630979174	-2.99922094754996	-1.31547930258106	-3.13780185082113	-2.88260854394772	-10.8311086443672	0
0	-10.8311086443672	0	0.8	-8	-3.01849776525192	-2.30684543093386	12.6886630979174	-2.99922094754996	-1.31547930258106	-3.13780185082113	-2.88260854394772	-12.1659496828258	0
0	-2.82764950998345	0	0.5	-8	-5.40203424143647	-5.29405348717647	1.1712113404111	-8.0	-2.58810697435293	-8.0	-2.80406848287295	-4.38092093204859	0
0	-4.38092093204859	0	0.5	-8	-5.40203424143647	-5.29405348717647	1.1712113404111	-8.0	-2.58810697435293	-8.0	-2.80406848287295	-5.88620771209852	0
1	-4.23043873217383	0	1.0	-8	-4.34673477353257	-4.17569304983019	4.49309001025989	-8.0	-2.06911234218023	-8.0	-2.17609060761686	-7.15043236413491	0
0	-7.15043236413491	0	1.0	-8	-4.34673477353257	-4.17569304983019	4.49309001025989	-8.0	-2.06911234218023	-8.0	-2.17609060761686	-7.33134143702289	0
1	-1.95777306395742	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-3.40274656864898	0
0	-3.40274656864898	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-231.623363329287	0
1	-2.0374588277821	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-3.59392310451779	0
0	-3.59392310451779	0	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-230.951656479965	0
0	-9.29401681955385	0	0.8	-8	-2.73278568535149	-1.77564437748692	12.073945850205	-2.68943004054037	-0.233616967229112	-3.27565370898452	-2.08704052487471	-9.40635480309816	0
1	-9.40635480309816	0	0.8	-8	-2.73278568535149	-1.77564437748692	12.073945850205	-2.68943004054037	-0.233616967229112	-3.27565370898452	-2.08704052487471	-11.5046133320669	0
1	-3.55704788784319	0	0.75	-8	-2.70444015167632	-1.93326543811624	12.2314665752158	-3.30724428638938	-0.63922997585723	-2.93531400834912	-2.58119445921917	-14.3540621632804	0
0	-14.3540621632804	0	0.75	-8	-2.70444015167632	-1.93326543811624	12.2314665752158	-3.30724428638938	-0.63922997585723	-2.93531400834912	-2.58119445921917	-17.8567120504981	0
0	-1.8528197259893	0	1.0	-8	-5.0907235678699	-4.93325711030022	0.906456678321428	-8.0	-1.86651422060044	-8.0	-2.1814471357398	-5.10170300463659	0
1	-5.10170300463659	0	1.0	-8	-5.0907235678699	-4.93325711030022	0.906456678321428	-8.0	-1.86651422060044	-8.0	-2.1814471357398	-11.676100226074	0
0	-5.43444684921411	0	1.0	-8	-5.6398129946111	-6.10979117965042	2.71506898442161	-8.0	-4.21958235930085	-8.0	-3.2796259892222	-5.54678483275843	0
1	-5.54678483275843	0	1.0	-8	-5.6398129946111	-6.10979117965042	2.71506898442161	-8.0	-4.21958235930085	-8.0	-3.2796259892222	-7.64504336172713	0
1	-0.446491102281572	0	1.0	-8	-3.20493758644921	-3.08077864720096	12.3168054991949	-4.73181352589498	-1.66827550843061	-3.33272638817517	-3.0524450650677	-4.91644519216517	0
0	-4.91644519216517	0	1.0	-8	-3.20493758644921	-3.08077864720096	12.3168054991949	-4.73181352589498	-1.66827550843061	-3.33272638817517	-3.0524450650677	-8.34440234396789	0
1	-1.6371667760227	0	1.0	-8	-5.52573500593389	-5.73875306753026	2.48010929735952	-8.0	-3.47750613506052	-8.0	-3.05147001186778	-4.42551174661362	0
0	-4.42551174661362	0	1.0	-8	-5.52573500593389	-5.73875306753026	2.48010929735952	-8.0	-3.47750613506052	-8.0	-3.05147001186778	-14.7314138769715	0
1	-3.87497166268119	0	1.0	-8	-2.95069070895627	-3.05454489804846	12.8724785430378	-4.42406719663855	-2.2573930193737	-3.27387860742791	-2.52672350757313	-7.7190635946166	0
0	-7.7190635946166	0	1.0	-8	-2.95069070895627	-3.05454489804846	12.8724785430378	-4.42406719663855	-2.2573930193737	-3.27387860742791	-2.52672350757313	-15.3413604226809	0
0	-8.48702171734049	0	0.75	-8	-3.03838042032499	-3.2587276568744	12.1016584511833	-5.90621274126698	-1.92925078116678	-3.26895196871146	-2.7042099401148	-11.2185372043766	0
1	-11.2185372043766	0	0.75	-8	-3.03838042032499	-3.2587276568744	12.1016584511833	-5.90621274126698	-1.92925078116678	-3.26895196871146	-2.7042099401148	-11.9783961763158	0
0	-6.51000006387214	0	0.8	-8	-2.95051090197808	-1.87040197947257	12.3963831349382	-2.84224690727729	-1.20870488210288	-3.13780185082113	-2.75500897632055	-13.1407231407883	0
1	-13.1407231407883	0	0.8	-8	-2.95051090197808	-1.87040197947257	12.3963831349382	-2.84224690727729	-1.20870488210288	-3.13780185082113	-2.75500897632055	-13.9005821127274	0
1	-2.81296264089368	0	1.0	-8	-2.78672802461814	-2.25554476990962	11.7988335123482	-3.47750613506052	-0.884606548190845	-3.05147001186778	-2.39369109402948	-3.06570311144971	0
0	-3.06570311144971	0	1.0	-8	-2.78672802461814	-2.25554476990962	11.7988335123482	-3.47750613506052	-0.884606548190845	-3.05147001186778	-2.39369109402948	-14.2793514008934	0
0	-6.76549219905101	0	0.666666666666667	-8	-3.08570440507816	-2.11878776079019	11.6782089709074	-3.47750613506052	-0.760069386519866	-3.11993879828854	-3.05147001186778	-7.60238526234758	0
