Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11
0	-8.501860225286814	0.25	1.0	-8.0	-3.0121709357920983	-8.0	9.648889486714298	-8.0	-8.0	-3.1407329359600893	-2.6852149497844704	2.731110702900084
1	-11.232970928186898	0.25	1.0	-8.0	-3.0121709357920983	-8.0	9.648889486714298	-8.0	-8.0	-3.1407329359600893	-2.6852149497844704	0.7492643684793574
1	-13.421922966503034	0.6666666666666666	0.6666666666666666	-8.0	-3.3669606659234748	-8.0	9.003669397036964	-8.0	-8.0	-3.974720437602216	-2.7592008942447337	0.4458647067190231
0	-13.867787673222058	0.6666666666666666	0.6666666666666666	-8.0	-3.4476000063356764	-8.0	8.917106986775726	-8.0	-8.0	-4.13599911842662	-2.7592008942447337	11.873679756556584
1	-15.991391990021565	0.3333333333333333	1.0	-8.0	-3.506729836519702	-8.0	9.594381272877145	-8.0	-8.0	-3.974720437602216	-3.184069801876047	0.445864706719032
0	-16.437256696740597	0.3333333333333333	1.0	-8.0	-3.560489396794503	-8.0	9.536672999369655	-8.0	-8.0	-4.13599911842662	-3.184069801876047	4.5259058522515865
1	-13.310527204266315	0.3333333333333333	1.0	-8.0	-3.081356568011065	-8.0	9.763462834089877	-8.0	-8.0	-3.974720437602216	-2.5989486733733314	0.4458647067190249
0	-13.75639191098534	0.3333333333333333	1.0	-8.0	-3.1351161282858655	-8.0	9.705754560582385	-8.0	-8.0	-4.13599911842662	-2.5989486733733314	15.92952591026485
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.713749746373164	-8.0	8.279257203126901	-8.0	-8.0	-3.2072225689135054	-2.068839905998949	3.099395195438194
0	-7.330735802241622	0.3333333333333333	1.0	-8.0	-2.713749746373164	-8.0	8.279257203126901	-8.0	-8.0	-3.2072225689135054	-2.068839905998949	1.6335296096474954
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-3.079166072752716	-8.0	9.124007250600263	-8.0	-8.0	-3.2072225689135054	-2.8651867642070386	3.099395195438194
0	-7.330735802241622	0.3333333333333333	1.0	-8.0	-3.079166072752716	-8.0	9.124007250600263	-8.0	-8.0	-3.2072225689135054	-2.8651867642070386	5.8950243716377715
1	-4.231340606803428	0.3333333333333333	1.0	-8.0	-2.673035596229338	-8.0	8.302784227888802	-8.0	-8.0	-3.2072225689135054	-1.9466974555674683	0.1614042440904777
0	-4.392744850893906	1.0	0.3333333333333333	-8.0	-0.679946778648529	-8.0	6.44715803134222	-8.0	-8.0	-0.679946778648529	-0.679946778648529	2.9379909513477163
1	-1.068653876435974	0.5	0.5	-8.0	-2.6773448911180298	-8.0	7.695703991696458	-8.0	-8.0	-2.94423365233139	-2.410456129904669	0.3355787400207948
0	-1.404232616456769	0.5	0.5	-8.0	-2.762910296314449	-8.0	8.14834257490089	-8.0	-8.0	-3.115364462724229	-2.410456129904669	2.255033418267444
1	-7.270601562580427	0.6	0.6	-8.0	-3.045259456022467	-8.0	8.26667947443633	-8.0	-8.0	-3.6279142485859595	-2.6248577453750586	0.02441528627934275
0	-7.2950168488597695	0.6	0.6	-8.0	-2.9647445313170784	-8.0	7.62467971895095	-8.0	-8.0	-3.3863694744697934	-2.6248577453750586	3.814376206466563
0	-7.794298624530746	0.25	1.0	-8.0	-2.869805774767615	-8.0	9.705384584115045	-8.0	-8.0	-3.277655486277654	-2.4676261899113974	2.2290213226425335
0	-10.02331994717328	0.5	0.75	-8.0	-2.6246278871573505	-8.0	8.920558923346713	-8.0	-8.0	-3.1407329359600893	-2.265524535600564	0.5020893802575532
0	-4.583092368310106	0.5	0.75	-8.0	-2.78908318031616	-8.0	9.016979107287236	-8.0	-8.0	-3.277655486277654	-2.0225653841856097	0.07124894215016653
0	-4.654341310460272	0.5	0.5	-8.0	-2.3692569535966665	-8.0	6.79603283521613	-8.0	-8.0	-2.715948523007724	-2.0225653841856097	0.23952100228993078
0	-7.512378337676655	0.25	1.0	-8.0	-2.9677982987889453	-8.0	10.043500692427013	-8.0	-8.0	-3.277655486277654	-2.5791961194129507	2.731110702900086
1	-10.24348904057674	0.25	1.0	-8.0	-2.9677982987889453	-8.0	10.043500692427013	-8.0	-8.0	-3.277655486277654	-2.5791961194129507	0.7492643684793556
1	-3.563198841705062	0.5	0.5	-8.0	-2.7899383770290695	-8.0	7.214714632190894	-8.0	-8.0	-2.9779251473450654	-2.6019516067130737	4.735824088822876
0	-8.299022930527938	0.5	0.75	-8.0	-2.837161997503402	-8.0	8.637174780523642	-8.0	-8.0	-3.277655486277654	-2.2559053588874862	6.043910411466618
0	-5.219514928274508	0.25	1.0	-8.0	-2.7343425272162274	-8.0	10.100009705128695	-8.0	-8.0	-3.277655486277654	-2.3383876012588383	2.711849747777684
0	-7.931364676052192	0.25	1.0	-8.0	-2.7343425272162274	-8.0	10.100009705128695	-8.0	-8.0	-3.277655486277654	-2.3383876012588383	0.18900438374167727
1	-5.556773608670446	0.5	1.0	-8.0	-2.857075401086565	-8.0	9.676360370444776	-8.0	-8.0	-3.277655486277654	-2.436495315895476	0.008042424043906315
0	-5.5648160327143525	0.5	1.0	-8.0	-2.857075401086565	-8.0	9.676360370444776	-8.0	-8.0	-3.277655486277654	-2.436495315895476	2.059371882676814
1	-10.655978394600787	0.2	1.0	-8.0	-2.7056918343039227	-8.0	9.591236340410992	-8.0	-8.0	-3.277655486277654	-2.263951689665497	0.008042424043905427
0	-10.664020818644692	0.2	1.0	-8.0	-2.7056918343039227	-8.0	9.591236340410992	-8.0	-8.0	-3.277655486277654	-2.263951689665497	2.059371882676814
0	-8.501860225286814	0.25	1.0	-8.0	-3.059933524669499	-8.0	9.854523893760343	-8.0	-8.0	-3.277655486277654	-2.6852149497844704	2.731110702900084
1	-11.232970928186898	0.25	1.0	-8.0	-3.059933524669499	-8.0	9.854523893760343	-8.0	-8.0	-3.277655486277654	-2.6852149497844704	0.7492643684793574
0	-10.108939096126463	0.2	1.0	-8.0	-2.6773310158673995	-8.0	10.15530421859612	-8.0	-8.0	-3.277655486277654	-1.8431371578895306	0.9317603406535131
1	-11.040699436779976	0.2	1.0	-8.0	-2.6773310158673995	-8.0	10.15530421859612	-8.0	-8.0	-3.277655486277654	-1.8431371578895306	10.853895316512341
0	-4.004041817043659	0.3333333333333333	1.0	-8.0	-2.745341879480551	-8.0	9.028812425500888	-8.0	-8.0	-3.05236331965107	-2.5058635618266907	2.075095041641138
1	-6.079136858684797	0.6666666666666666	0.6666666666666666	-8.0	-2.4595508880066994	-8.0	8.04582204969492	-8.0	-8.0	-2.677798756963891	-2.2413030190495076	7.445349206099084
0	-7.283557845196069	0.8	0.4	-8.0	-2.0683435710823357	-8.0	6.338803476360248	-8.0	-8.0	-2.556903703856911	-1.5797834383077605	5.5318868142615125
1	-12.815444659457581	0.4	0.8	-8.0	-2.7674691312768087	-8.0	8.247989759213745	-8.0	-8.0	-3.1407329359600893	-2.556903703856911	0.7492643684793592
0	-7.283557845196069	0.8	0.4	-8.0	-2.0683435710823357	-8.0	6.338803476360248	-8.0	-8.0	-2.556903703856911	-1.5797834383077605	5.5318868142615125
1	-12.815444659457581	0.4	0.8	-8.0	-2.7674691312768087	-8.0	8.247989759213745	-8.0	-8.0	-3.1407329359600893	-2.556903703856911	0.7492643684793592
0	-7.138670789837147	0.4	0.8	-8.0	-2.8974651462907897	-8.0	8.855161889947876	-8.0	-8.0	-3.092496657917942	-2.5814766228779322	6.0165481413040505
1	-13.155218931141198	0.2	1.0	-8.0	-2.9588287726690163	-8.0	9.706785648227665	-8.0	-8.0	-3.1407329359600893	-2.6450269650997655	0.7492643684793574
1	-1.734311335908449	0.75	0.5	-8.0	-2.520650008748449	-8.0	8.65830386196562	-8.0	-8.0	-3.05236331965107	-1.9889366978458274	11.468882290638906
0	-13.203193626547355	0.75	0.5	-8.0	-2.5241936913539105	-8.0	8.662374098639685	-8.0	-8.0	-3.0594506848619933	-1.9889366978458274	2.8566524970201836
1	-2.8999740178833093	0.6666666666666666	0.6666666666666666	-8.0	-2.6627301386802396	-8.0	8.166603492875353	-8.0	-8.0	-3.05236331965107	-2.2730969577094093	0.13389998224429878
0	-3.033874000127608	0.3333333333333333	1.0	-8.0	-2.8097343845069727	-8.0	8.773365908092538	-8.0	-8.0	-3.05236331965107	-2.455838835952409	11.334982308394608
0	-6.780330706997334	0.3333333333333333	1.0	-8.0	-2.95943706846521	-8.0	9.997548923743985	-8.0	-8.0	-3.1407329359600893	-2.6852149497844704	0.659196283325354
0	-7.439526990322688	0.6666666666666666	0.6666666666666666	-8.0	-2.8931196293557617	-8.0	8.178771902985934	-8.0	-8.0	-3.1010243089270526	-2.6852149497844704	0.7062730332489329
1	-4.988970357183528	0.2	1.0	-8.0	-2.848801969152162	-8.0	9.32551719685307	-8.0	-8.0	-3.3096342230526834	-2.415558818475382	4.836197363588336
0	-9.825167720771864	0.2	1.0	-8.0	-2.848801969152162	-8.0	9.32551719685307	-8.0	-8.0	-3.3096342230526834	-2.415558818475382	0.7639625551867582
1	-0.7786323437390636	0.3333333333333333	1.0	-8.0	-2.5639818699573813	-8.0	9.437428955003954	-8.0	-8.0	-2.7345466084919594	-2.424264195671468	4.2889493902732285
0	-5.067581734012292	0.6666666666666666	0.6666666666666666	-8.0	-2.2631244972126225	-8.0	9.088280091411045	-8.0	-8.0	-2.5331348057087175	-1.9931141887165271	7.25986127312443
1	-1.3862943611198906	1.0	0.5	-8.0	-2.3064241507860763	-8.0	5.903089986991948	-8.0	-8.0	-2.3064241507860763	-2.3064241507860763	8.848363034180007
0	-10.234657395299898	0.5	1.0	-8.0	-3.3878088633875802	-8.0	8.073135509553506	-8.0	-8.0	-3.491627898914015	-3.2839898278611455	5.399600731599067
0	-14.988425287341785	0.2	1.0	-8.0	-3.0733304311777796	-8.0	9.457808452398465	-8.0	-8.0	-3.465965665182303	-2.826709101055728	1.4775550956310166
1	-16.465980382972802	0.6	0.6	-8.0	-3.100881415945558	-8.0	8.76466320685964	-8.0	-8.0	-3.465965665182303	-2.9071941901709737	1.957866900938292
1	-0.11576301283681835	0.5	1.0	-8.0	-2.923415514166149	-8.0	10.68369177089092	-8.0	-8.0	-2.9347181395074475	-2.91211288882485	5.313530258836237
0	-5.429293271673055	1.0	0.5	-8.0	-3.04539422830381	-8.0	6.857332496431268	-8.0	-8.0	-3.04539422830381	-3.04539422830381	0.16843667153449093
1	-3.894004499925468	1.0	0.3333333333333333	-8.0	-2.1303331854148433	-8.0	6.0000000000000036	-8.0	-8.0	-2.1303331854148433	-2.1303331854148433	4.741477185233662
0	-8.63548168515913	0.3333333333333333	1.0	-8.0	-3.197194372154371	-8.0	8.55900512468474	-8.0	-8.0	-3.276738052393889	-3.125541409903179	2.4343168393631966
1	-7.1019290107763355	0.8	0.4	-8.0	-2.680176888168676	-8.0	8.520792339918355	-8.0	-8.0	-2.9294244565240195	-2.4309293198133317	0.5596959755860489
0	-7.661624986362384	0.2	1.0	-8.0	-3.0711758900415704	-8.0	9.679380493876113	-8.0	-8.0	-3.27371164399674	-2.889364512132939	5.624728172323155
0	-2.281702864340974	0.4	0.8	-8.0	-3.206988815475497	-8.0	8.757277412587099	-8.0	-8.0	-4.371141529421311	-2.679435024711285	0.14888661735466435
1	-2.4305894816956384	0.6	0.6	-8.0	-3.29146421675971	-8.0	8.501047815196102	-8.0	-8.0	-4.279598333346511	-2.679435024711285	2.499204988130365
0	-230.25850929940455	1.0	0.3333333333333333	-8.0	5.903089986991948	-8.0	5.903089986991948	-8.0	-8.0	5.903089986991948	5.903089986991948	0.0
1	-230.25850929940455	1.0	0.3333333333333333	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	4.622835844266746
0	-230.43149485483468	1.0	1.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	0.6379446607862462
1	-231.06943951562093	1.0	1.0	-8.0	5.95424250943933	-8.0	5.95424250943933	-8.0	-8.0	5.95424250943933	5.95424250943933	2.8582803225917814
0	-3.1723350474236813	0.3333333333333333	1.0	-8.0	-2.4546996653325404	-8.0	9.272674352522786	-8.0	-8.0	-2.9070926298883433	-2.106378948409362	0.9048040911839497
1	-4.077139138607631	0.6666666666666666	0.6666666666666666	-8.0	-1.8326173241261097	-8.0	8.152035986514274	-8.0	-8.0	-2.3506274176999162	-1.314607230552303	9.234770795906574
0	-3.002145451944262	0.6666666666666666	0.6666666666666666	-8.0	-2.435697363340693	-8.0	8.616562237482057	-8.0	-8.0	-2.9070926298883433	-1.9643020967930422	3.9613283538144097
1	-6.963473805758672	0.6666666666666666	0.6666666666666666	-8.0	-2.435697363340693	-8.0	8.616562237482057	-8.0	-8.0	-2.9070926298883433	-1.9643020967930422	3.566052042555108
1	-1.6757236292603999	0.3333333333333333	1.0	-8.0	-2.6474684195530407	-8.0	9.094847331905761	-8.0	-8.0	-3.168208637403515	-2.3506274176999162	5.5593052266988625
0	-7.235028855959262	0.3333333333333333	1.0	-8.0	-2.6474684195530407	-8.0	9.094847331905761	-8.0	-8.0	-3.168208637403515	-2.3506274176999162	4.580269660391663
0	-2.6753762114710287	0.3333333333333333	1.0	-8.0	-2.7541915964225	-8.0	8.779848033189277	-8.0	-8.0	-2.926552514584954	-2.4289296447942026	3.961328353814412
1	-6.636704565285441	0.3333333333333333	1.0	-8.0	-2.7541915964225	-8.0	8.779848033189277	-8.0	-8.0	-2.926552514584954	-2.4289296447942026	5.475049123053451
0	-8.875995196000959	0.5	1.0	-8.0	-2.545027506973802	-8.0	8.803352568888354	-8.0	-8.0	-2.9070926298883433	-2.182962384059261	1.9383600398466818
0	-10.814355235847641	0.5	1.0	-8.0	-2.4975095285865327	-8.0	8.891398198416194	-8.0	-8.0	-2.9070926298883433	-2.0879264272847218	2.022968313967727
1	-10.394374342193586	0.3333333333333333	1.0	-8.0	-2.6407005260687515	-8.0	8.991497597050746	-8.0	-8.0	-2.8288663729658268	-2.265980848379215	1.3081074169323639
0	-11.70248175912595	0.3333333333333333	1.0	-8.0	-2.6407005260687515	-8.0	8.991497597050746	-8.0	-8.0	-2.8288663729658268	-2.265980848379215	0.533325295720525
0	-0.8560506514967986	0.8	0.4	-8.0	-2.179366573766153	-8.0	7.711280147502122	-8.0	-8.0	-2.8272543568612125	-1.5314787906710938	0.3009868778495369
1	-1.1570375293463355	0.6	0.6	-8.0	-2.429111855070001	-8.0	8.61263755001265	-8.0	-8.0	-2.8272543568612125	-1.8027734837114597	5.819697327573084
1	-4.728214327823533	0.5	1.0	-8.0	-2.894650100618592	-8.0	8.124214211781554	-8.0	-8.0	-2.94910241006447	-2.840197791172714	3.8599036767164314
0	-8.588118004539965	1.0	0.5	-8.0	-1.9190777329180455	-8.0	6.7160033436347994	-8.0	-8.0	-1.9190777329180455	-1.9190777329180455	5.092771586820261
1	-0.22314355131420968	1.0	0.25	-8.0	-1.4206156595302168	-8.0	6.698970004336019	-8.0	-8.0	-1.4206156595302168	-1.4206156595302168	1.6678813213016046
0	-1.8910248726158143	0.25	1.0	-8.0	-3.0515588864059056	-8.0	9.488149241909344	-8.0	-8.0	-3.1431669598687804	-2.9401510732901124	2.5427596861567947
0	-1.4879157010329327	1.0	0.25	-8.0	-1.1184751199113312	-8.0	6.3424226808222075	-8.0	-8.0	-1.1184751199113312	-1.1184751199113312	5.601458110629569
0	-7.089373811662501	0.75	0.5	-8.0	-2.5718574004226165	-8.0	8.366760088318319	-8.0	-8.0	-2.9401510732901124	-2.20356372755512	2.30356000139931
0	-17.838454854493037	0.5	1.0	-8.0	-3.3230699185157473	-8.0	8.878283798440371	-8.0	-8.0	-3.369401784637605	-3.276738052393889	4.735595594882788
0	-22.574050449375825	0.5	1.0	-8.0	-3.3230699185157473	-8.0	8.878283798440371	-8.0	-8.0	-3.369401784637605	-3.276738052393889	2.0756475700670656
0	-5.475535394596301	0.4	0.6	-8.0	-2.6072186449733343	-8.0	7.803137162607121	-8.0	-8.0	-2.9234110623454486	-2.2960592930527715	0.3476499057949036
0	-5.823185300391205	0.4	0.6	-8.0	-2.694118716266449	-8.0	7.673166847917703	-8.0	-8.0	-2.9234110623454486	-2.2960592930527715	3.2343505156230252
0	-1.457488214623566	1.0	0.3333333333333333	-8.0	-1.9563481586995595	-8.0	6.204119982655927	-8.0	-8.0	-1.9563481586995595	-1.9563481586995595	0.09920636879545897
