index	nb_urls	delimit_hash	geo	text	nb_symbols	annee	delimit_mention	nb_extended_entities	text_mention	id_str	nb_user_photos	nb_user_mentions	type_extended_entities	created_at	lang	retweet_count	nb_hashtags	favorite_count	text_hashtags
778264771242131456	0	, 67, 78		C'était le couple goal, le couple exemplaire. C'est un mythe brisé #Brangelina	0	2016		0		778264771242131456	0	0	[]	Tue Sep 20 16:09:15 +0000 2016	fr	8	1	15	, Brangelina
778264793497083904	1	, 3, 8, 15, 26, 71, 77		Le #TTIP &amp; #Brangelina dans le journal du web de @robincornet dans #soir1 https://t.co/zLOifZKn93	0	2016	, 53, 65	0	, robincornet	778264793497083904	0	1	[]	Tue Sep 20 16:09:20 +0000 2016	fr	1	3	2	, TTIP, Brangelina, soir1
778264813613056001	0	, 64, 75		😂 Twitter a son sujet pour la semaine ! Je rigole trop avec ces #Brangelina mais choquée quand même	0	2016		0		778264813613056001	0	0	[]	Tue Sep 20 16:09:25 +0000 2016	fr	0	1	0	, Brangelina
778264836090265601	0	, 50, 61, 62, 70		"Bon on peut dire que 
""Angelina se brade Pitt.."" 
#Brangelina #Divorce"	0	2016		0		778264836090265601	0	0	[]	Tue Sep 20 16:09:31 +0000 2016	fr	0	2	0	, Brangelina, Divorce
778264849642037248	1	, 77, 88, 89, 103		Bonne nouvelle pour Jennifer Aniston, Brad Pitt est de nouveau célibataire ! #Brangelina #AngelinaJolie https://t.co/vOZN6L7s4b	0	2016		0		778264849642037248	0	0	[]	Tue Sep 20 16:09:34 +0000 2016	fr	0	2	0	, Brangelina, AngelinaJolie
778264864057942016	0	, 62, 67, 68, 84, 85, 96, 97, 111		Après y a bcp de TT sur eux cest bizarre @Anne_du13 @valbnn83 #brad #JenniferAniston #Brangelina #AngelinaJolie	0	2016	, 41, 51, 52, 61	0	, Anne_du13, valbnn83	778264864057942016	0	2	[]	Tue Sep 20 16:09:37 +0000 2016	fr	0	4	0	, brad, JenniferAniston, Brangelina, AngelinaJolie
778264950657716224	1	, 32, 43, 44, 57		@bchameroy Hystérique ? Si peu. #brangelina #bestnewsever https://t.co/b3WFmwEucm	0	2016	, 0, 10	0	, bchameroy	778264950657716224	0	1	[]	Tue Sep 20 16:09:58 +0000 2016	fr	2	2	20	, brangelina, bestnewsever
778264954247979008	0	, 79, 90		C'est le plus beau couple d'Hollywood avec les Beckham. c'est. pas. possible.  #Brangelina	0	2016		0		778264954247979008	0	0	[]	Tue Sep 20 16:09:59 +0000 2016	fr	7	1	13	, Brangelina
778264967346872320	0	, 67, 81, 82, 93, 94, 103		Mais mais ça se peut pas, c'est le couple mythique d'Hollywood ? 😩 #AngelinaJolie #Brangelina #BradPitt	0	2016		0		778264967346872320	0	0	[]	Tue Sep 20 16:10:02 +0000 2016	fr	0	3	1	, AngelinaJolie, Brangelina, BradPitt
778265029728755713	0	, 10, 21		Les gars, #Brangelina se sépare, je suis grave choquée là	0	2016		0		778265029728755713	0	0	[]	Tue Sep 20 16:10:17 +0000 2016	fr	0	1	0	, Brangelina
778265060565188608	0	, 118, 129		Angelina c'est une mauvaise personne. Quand ton bonheur dépend du malheur d'une personne tu t'affiches pas comme ça ! #Brangelina	0	2016		0		778265060565188608	0	0	[]	Tue Sep 20 16:10:24 +0000 2016	fr	0	1	0	, Brangelina
778265092366356480	1	, 60, 71		V O Y A N C E   N I V E A U  1 • Ali avait prédit la fin de #Brangelina, de Canal, de l'été...… https://t.co/8LvUflW8Y3	0	2016		0		778265092366356480	0	0	[]	Tue Sep 20 16:10:32 +0000 2016	fr	0	1	0	, Brangelina
778265100230729728	0	, 38, 49		MON COEUR À MOI EST TOUT AUTANT BRISÉ #Brangelina	0	2016		0		778265100230729728	0	0	[]	Tue Sep 20 16:10:34 +0000 2016	fr	0	1	0	, Brangelina
778265109722439684	0	, 0, 11		#Brangelina qui se séparent, problème de "gestion de la colère" de de ce dernier évoquée, oh non pas un autre Johnny Depp s'il vous plait 😦	0	2016		0		778265109722439684	0	0	[]	Tue Sep 20 16:10:36 +0000 2016	fr	1	1	0	, Brangelina
778265117582626816	1	, 39, 58, 59, 70		De toute façon, nous on a toujours été #teamjeniferaniston #Brangelina https://t.co/sc8o2dIl7n	0	2016		0		778265117582626816	0	0	[]	Tue Sep 20 16:10:38 +0000 2016	fr	80	2	113	, teamjeniferaniston, Brangelina
778265166668587009	0	, 22, 33		MON MONDE S'ÉCROULE ! #brangelina https://t.co/GJfAK3to9R	0	2016		1		778265166668587009	1	0	['photo']	Tue Sep 20 16:10:49 +0000 2016	fr	1	1	0	, brangelina
778265193939865601	0	, 75, 86		Si même eux divorcent, moi j'abandonne, je crois plus en l'amour c'est bon #Brangelina	0	2016		0		778265193939865601	0	0	[]	Tue Sep 20 16:10:56 +0000 2016	fr	0	1	0	, Brangelina
