index	nb_user_mentions	nb_extended_entities	nb_hashtags	geo	text_hashtags	annee	delimit_mention	lang	id_str	text_mention	retweet_count	favorite_count	type_extended_entities	text	nb_user_photos	nb_urls	nb_symbols	created_at	delimit_hash
777598228418203648	3	0	2		, lmpt, Macron	2016	, 79, 92, 93, 101, 102, 115	fr	777598228418203648	, NicoHikona19, marst76, mauzemontole	0	0	[]	Qd un député gay vert très à gauche encontre le m^ prêtre de #lmpt que #Macron @NicoHikona19 @marst76 @mauzemontole https://t.co/mInOw6JUGZ	0	1	0	Sun Sep 18 20:00:39 +0000 2016	, 61, 66, 71, 78
777605485449121794	0	0	3		, Macron, Hollande, Valls	2016		fr	777605485449121794		0	0	[]	Brutus #Macron a mis à mal la candidature de César #Hollande. Cassius #Valls est en embuscade.	0	0	0	Sun Sep 18 20:29:29 +0000 2016	, 7, 14, 51, 60, 70, 76
777608087486263296	0	0	2		, Royal, Macron	2016		fr	777608087486263296		0	2	[]	"Mes 2 idoles ! 
Ségolène #Royal soutient discrètement Emmanuel #Macron
https://t.co/jqd8h6I5Zm"	0	1	0	Sun Sep 18 20:39:49 +0000 2016	, 25, 31, 63, 70
777609611167821824	0	0	2		, Macron, ZoneInterdite	2016		fr	777609611167821824		0	0	[]	Classe la photo avec #Macron !  #ZoneInterdite	0	0	0	Sun Sep 18 20:45:53 +0000 2016	, 21, 28, 32, 46
777610553439248388	0	0	2		, Macron, zoneinterdite	2016		fr	777610553439248388		0	1	[]	et merde, c t joli comme reportage et puis apparaît... #Macron! #zoneinterdite	0	0	0	Sun Sep 18 20:49:37 +0000 2016	, 55, 62, 64, 78
777636510279630849	0	0	2		, Macron, NuitDebout	2016		fr	777636510279630849		1	1	[]	""" Qui sont vraiment les musulmans de France s'est demandé l'Institut Montaigne (proche de #Macron )""🤔🤔

#NuitDebout

https://t.co/NZgUL0dMyj"	0	1	0	Sun Sep 18 22:32:46 +0000 2016	, 90, 97, 104, 115
777637403632730112	0	0	3		, Macron, Sapin, DSK	2016		fr	777637403632730112		0	1	[]	On dirait #Macron #Sapin et #DSK https://t.co/ZC0NcFjpW8	0	1	0	Sun Sep 18 22:36:19 +0000 2016	, 10, 17, 18, 24, 28, 32
777638971404849152	1	0	2		, Macron, compétitivité	2016	, 97, 111	fr	777638971404849152	, SetP_officiel	0	0	[]	Emmanuel #Macron souhaite-t-il la mort des pôles de #compétitivité ? https://t.co/Xi1faZR2Hc via @SetP_officiel	0	1	0	Sun Sep 18 22:42:33 +0000 2016	, 9, 16, 52, 66
777639258572062720	2	0	4		, inversion_courbe_chomage, bilan_positif_quinquennat, trahison_methodique_de_Macron, candidat_non_desire_a_85	2016	, 0, 10, 11, 20	fr	777639258572062720	, VillemotG, jpgorges	0	0	[]	"@VillemotG @jpgorges
ou pas :
#inversion_courbe_chomage
#bilan_positif_quinquennat
#trahison_methodique_de_Macron
#candidat_non_desire_a_85%"	0	0	0	Sun Sep 18 22:43:41 +0000 2016	, 30, 55, 56, 82, 83, 113, 114, 139
777652659864100864	0	0	2		, Hermand, Macron	2016		fr	777652659864100864		0	1	[]	#Hermand a prêté de l'argent💶💶💶 à #Macron quand il a voulu s'installer à Paris🗼 avec Brigitte 👄 : trop mignon 😆😆😆 https://t.co/nSCZy57pK8	0	1	0	Sun Sep 18 23:36:56 +0000 2016	, 0, 8, 34, 41
777711333059985410	0	0	1		, Macron	2016		fr	777711333059985410		0	0	[]	#Macron, jamais interrogé sur ce sujet par les journalistes, qui lui préfèrent sa com' débile. Il faut que ce soit un citoyen qui s'y colle.	0	0	0	Mon Sep 19 03:30:05 +0000 2016	, 0, 7
777748479082897408	0	1	2		, Présidentielle, Macron	2016		fr	777748479082897408		0	0	['photo']	#Présidentielle : #Macron meilleur candidat pour représenter la gauche, sondage https://t.co/Bh7VTkaEUJ https://t.co/kvjbAdmTof	1	1	0	Mon Sep 19 05:57:41 +0000 2016	, 0, 15, 18, 25
777750319757422592	0	0	2		, Macron, réservation	2016		fr	777750319757422592		0	0	[]	Infographie : 11 mois après la Loi #Macron, qu’est-ce qu’une plateforme de #réservation en ligne ? https://t.co/7IXAlxFlL6	0	1	0	Mon Sep 19 06:05:00 +0000 2016	, 35, 42, 75, 87
777754973073444864	1	0	1		, Macron	2016	, 22, 34	fr	777754973073444864	, Mathilde_Sd	2	1	[]	Hermand au Figaro par @Mathilde_Sd " #Macron n'a pas,au contraire de la majorité des gens brillants de son âge, multiplié les copines" (1/2)	0	0	0	Mon Sep 19 06:23:30 +0000 2016	, 37, 44
777755191521214464	0	0	1		, Macron	2016		fr	777755191521214464		2	1	[]	2/2 "Cela a joué un rôle important dans son travail! Il n'a pas été sollicité, ou du moins, il a refusé". #Macron https://t.co/rYSHojaiTh	0	1	0	Mon Sep 19 06:24:22 +0000 2016	, 106, 113
777759931856543744	1	1	1		, Macron	2016	, 106, 116	fr	777759931856543744	, Le_Figaro	0	1	['photo']	Hermand et l'enthousiasme de #Macron «Avec sa femme on lui demande d'arrêter» https://t.co/UFpoTqEEZI via @Le_Figaro https://t.co/lZvsAOlLOx	1	1	0	Mon Sep 19 06:43:12 +0000 2016	, 29, 36
777764342725042176	0	0	3		, Brigitte, Macron, Lycée	2016		fr	777764342725042176		0	1	[]	"C'est Brigitte Macron qui doit être heureuse, tiens ! 

#Brigitte #Macron #Lycée 

https://t.co/ozM1ReP5y8"	0	1	0	Mon Sep 19 07:00:44 +0000 2016	, 56, 65, 66, 73, 74, 80
777768309286731776	0	0	1		, Macron	2016		fr	777768309286731776		8	4	[]	#Macron: Le fantasme du banquier financé par les milliardaires https://t.co/Bv2SWA7Qy0	0	1	0	Mon Sep 19 07:16:29 +0000 2016	, 0, 7
