POIDLOG	POIDSF	cLT1FREQ	cLT2FREQ																												
1.2749853587	6833.29678	1	1																												
2.3931443571	12826.081113	3	1																												
2.7972454954	14991.865205	2	1																												
0.9195737099	4928.4644939	6	2																												
1.528686751	8193.0119287	4	1																												
0.7025929583	3765.553986	1	2																												
2.0772792014	11133.198653	2	1																												
1.1909164235	6382.7284808	3	1																												
1.0077705699	5401.1564469	2	1																												
1.9263809453	10324.45794	3	1																												
1.517027365	8130.523333	2	1																												
4.2681242709	22875.054711	3	1																												
1.3364672299	7162.8094833	2	1																												
4.2633019582	22849.209478	5	1																												
1.253890434	6720.2383199	3	1																												
1.2925213073	6927.2808716	4	1																												
1.0074748652	5399.5716147	2	1																												
1.0023785525	5372.2578757	2	1																												
3.4077896159	18264.082524	2	1																												
3.3979269965	18211.223717	8	2																												
2.8375187575	15207.710156	1	1																												
2.8043375319	15029.875046	3	1																												
0.4057063789	2174.3873946	1	1																												
1.2637719992	6773.1986676	3	1																												
2.7537612036	14758.810708	2	1																												
0.5375648493	2881.0841854	6	1																												
0.5626557694	3015.5592228	3	1																												
0.7294619548	3909.5586416	5	1																												
4.2688692351	22879.047354	2	1																												
1.9443009635	10420.500457	5	2																												
1.018739996	5459.9471962	2	1																												
0.7362341209	3945.8541336	4	1																												
0.8779369634	4705.3119345	4	1																												
5.5111284515	29536.948047	5	1																												
2.7880803146	14942.744327	3	1																												
0.5615778675	3009.7821969	3	1																												
1.4752139624	7906.4239835	2	1																												
1.7676151304	9473.5509678	3	2																												
0.9995604956	5357.1544716	1	1																												
0.4171775779	2235.8674003	5	2																												
2.732484001	14644.775328	4	1																												
1.1721091862	6281.9309048	1	1																												
0.4060270028	2176.1057817	3	1																												
0.2011005136	1077.8002138	0																													
0.8541300384	4577.7184821	2	1																												
0.2876835235	1541.842721	1	1																												
0.6471822031	3468.5794891	1	1																												
1.2808093891	6864.510729	5	2																												
0.4619426112	2475.7860443	3	2																												
0.4461754577	2391.2818273	2	1																												
0.3735838294	2002.2262695	5	2																												
1.1416739594	6118.8130024	5	2																												
3.0241398781	16207.907918	9	2																												
0.6746582344	3615.8375537	4	1																												
0.5248515669	2812.9472212	0																													
0.6017713501	3225.1995686	2	1																												
0.3620694565	1940.514873	4	3																												
0.7044687065	3775.6070773	3	1																												
0.8482751077	4546.3389226	1	1																												
2.3204620042	12436.539316	3	3																												
4.5561204023	24418.572857	0																													
1.1872398016	6363.0235893	4	2																												
1.1110481823	5954.6738433	2	1																												
0.9090686607	4872.1625775	1	1																												
2.760031352	14792.415632	1	1																												
2.7704795736	14848.412979	2	1																												
1.0216110034	5475.3343891	2	2																												
0.7173269076	3844.5207348	2	1																												
1.5442349238	8276.3425162	5	2																												
1.3812134341	7402.6272122	2	1																												
4.5449681265	24358.802124	3	1																												
1.0603693922	5683.0603611	2	1																												
0.8052882231	4315.9502846	10	2																												
2.6547601897	14228.213784	2	1																												
3.4077896159	18264.082524	3	1																												
2.7930406009	14969.329031	2	1																												
3.4004244744	18224.608975	4	2																												
2.7531320355	14755.438676	10	2																												
1.587655226	8509.0540601	1	1																												
1.3812134341	7402.6272122	0																													
1.1432768612	6127.4037703	4	1																												
1.8973530868	10168.882842	1	1																												
5.5929131471	29975.273941	0																													
3.8504756449	20636.662724	4	2																												
4.9788909849	26684.416023	3	1																												
1.76454302	9457.085961	0																													
1.0054878639	5388.9222614	0																													
5.5204808505	29587.072323	3	2																												
4.9787430283	26683.623047	3	1																												
0.690606717	3701.3136061	3	1																												
0.8749665822	4689.3921469	1	1																												
5.0404798361	27014.502086	5	1																												
1.2396611939	6643.9765654	4	1																												
1.5715865374	8422.9337628	2	1																												
1.8015224677	9655.277681	2	1																												
1.8089333859	9694.9965713	4	1																												
1.7720398557	9497.2653268	2	1																												
1.0264374514	5501.2017849	3	1																												
1.6215578886	8690.7557193	0																													
0.9992752848	5355.6258816	3	1																												
1.629455038	8733.0805709	1	1																												
1.9263809453	10324.45794	2	1																												
1.091454596	5849.661822	2	1																												
0.7773657103	4166.2992982	1	1																												
1.2901838091	6914.7530268	4	1																												
1.4570123134	7808.8720636	2	1																												
0.9453193288	5066.4483961	1	1																												
1.5747353334	8439.8097668	1	1																												
0.8108532548	4345.7761275	1	1																												
1.0961897546	5875.0399515	4	1																												
3.1050963636	16641.795012	3	1																												
1.8393564086	9858.0490656	1	1																												
1.8555270373	9944.7157114	4	1																												
1.9392397875	10393.375033	2	1																												
0.0799241135	428.35408573	1	1																												
2.8070250534	15044.278844	0																													
1.3799595366	7395.9069359	2	1																												
5.5175318033	29571.266875	5	1																												
1.141175753	6116.1428599	1	1																												
1.9330317402	10360.102942	0																													
1.3723247177	7354.9880477	1	1																												
1.3099187587	7020.5226862	3	1																												
5.5468096941	29728.182024	4	1																												
1.1360346424	6088.5890265	2	1																												
3.3940889589	18190.653716	2	1																												
0.9966985017	5341.8155871	0																													
3.1940401332	17118.490034	2	1																												
0.8288865191	4442.4255881	4	1																												
0.8878564179	4758.4753503	2	1																												
1.4983581008	8030.4652246	3	1																												
0.8756564723	4693.0896198	2	1																												
1.7187200696	9211.4974	1	1																												
4.4838458434	24031.216636	0																													
4.4680249449	23946.424372	0																													
1.3996286694	7501.3238497	4	2																												
2.737590014	14672.141056	0																													
1.7323708239	9284.6587542	2	1																												
2.7672041487	14830.858307	2	1																												
0.5373294081	2879.822336	4	2																												
0.9164116476	4911.5173893	2	1																												
1.3768806018	7379.4053541	5	2																												
1.6571540161	8881.5335208	1	1																												
1.0994198164	5892.3515001	6	1																												
4.1580252602	22284.977962	2	1																												
2.7876179998	14940.266546	0																													
0.9684107872	5190.2072983	4	1																												
4.4281072887	23732.485295	0																													
3.3940889589	18190.653716	10	1																												
1.4022259681	7515.2440985	4	1																												
1.3753121282	7370.9991043	4	1																												
0.6212129551	3329.3970447	1	1																												
4.7984242186	25717.202584	2	1																												
1.0058521718	5390.8747732	2	1																												
1.927787432	10331.996019	2	1																												
1.9130479674	10252.999712	2	3																												
3.6022149186	19306.106878	4	2																												
1.6474096982	8829.3087516	4	1																												
3.6985834901	19822.595201	4	1																												
1.4231059666	7627.150659	5	2																												
1.0037198974	5379.4468274	2	1																												
3.6948916421	19802.808705	3	1																												
1.4248211633	7636.3432728	2	1																												
4.8845112368	26178.586819	5	1																												
0.8260037087	4426.975137	5	1																												
0.3501805792	1876.796316	0																													
4.8851265656	26181.88468	2	1																												
3.0700363262	16453.890391	2	1																												
1.015889587	5444.6704004	1	1																												
4.1044007272	21997.576742	2	1																												
2.8043375319	15029.875046	5	1																												
2.7531320355	14755.438676	3	1																												
0.680120351	3645.1118223	3	2																												
1.3792836981	7392.2847726	3	2																												
4.1333463386	22152.711035	2	1																												
2.2658020137	12143.588551	7	2																												
2.75746553	14778.664082	3	1																												
2.7785699378	14891.773367	2	1																												
2.8448951081	15247.243781	0																													
4.4422476192	23808.270537	0																													
1.3066157131	7002.8199803	1	1																												
4.4492326909	23845.707099	0																													
1.0081084498	5402.9673176	1	1																												
0.9166379029	4912.730007	0																													
0.9925759596	5319.7207814	0																													
1.380015676	7396.2078158	1	1																												
4.4536931838	23869.613155	4	1																												
4.513234223	24188.72395	0																													
0.4917355662	2635.4616844	0																													
4.4719896464	23967.67323	3	1																												
4.4533222435	23867.625097	0																													
1.9241832438	10312.679337	0																													
1.9130479674	10252.999712	3	1																												
2.1701800084	11631.101457	0																													
1.8580483525	9958.2287255	6	2																												
0.7891812191	4229.6246354	1	1																												
2.7527937649	14753.625711	2	1																												
1.2403709916	6647.780733	2	1																												
5.0347003637	26983.526946	2	1																												
2.2241432802	11920.318152	3	1																												
0.7150912044	3832.5384606	4	1																												
1.694700339	9082.7634138	2	1																												
1.0558925513	5659.0666874	4	1																												
2.2364745926	11986.407944	0																													
1.1824178461	6337.1802705	2	1																												
2.7568035791	14775.11635	0																													
1.3792836981	7392.2847726	0																													
1.228112957	6582.083674	4	1																												
2.7587211297	14785.393482	5	1																												
2.0431114414	10950.076201	3	1																												
2.2682582908	12156.752992	3	1																												
1.0067322104	5395.5913489	3	1																												
2.3756215445	12732.167424	3	1																												
0.8077611091	4329.2037418	0																													
0.2934279526	1572.6300464	3	1																												
0.2325600276	1246.4077936	3	1																												
2.0620935415	11051.810956	4	1																												
0.6723266389	3603.3413446	3	1																												
1.2269148064	6575.6621738	3	1																												
2.8397527962	15219.683509	0																													
1.905927032	10214.834987	6	1																												
0.133677897	716.44802562	2	1																												
0.3045960626	1632.4856436	4	1																												
0.3898911415	2089.6254717	4	2																												
0.7482324191	4010.1591326	2	1																												
0.4390338939	2353.0065446	3	1																												
0.9799402797	5251.9997287	3	1																												
0.6361770359	3409.5971858	3	1																												
0.2593144032	1389.798137	3	1																												
0.1289320112	691.01240341	2	2																												
0.6042194899	3238.3203981	3	1																												
0.3783526783	2027.7849629	3	1																												
0.9795706027	5250.018441	5	2																												
0.2222482053	1191.141479	3	1																												
0.1107222285	593.41689064	3	1																												
1.6791252335	8999.2884801	8	2																												
1.759696207	9431.1094184	5	1																												
0.3171340531	1699.6831289	0																													
0.5647106119	3026.5721716	10	2																												
0.1155270496	619.16837769	3	1																												
0.2080184937	1114.877197	4	1																												
0.4478810048	2400.4227241	3	1																												
0.7784530343	4172.1268217	4	1																												
0.2082337544	1116.0308892	1	1																												
0.1078473758	578.00908907	3	1																												
0.6315737681	3384.9259258	5	1																												
0.2777220977	1488.45436	5	1																												
2.5573829848	13706.319681	4	1																												
2.7400099446	14685.110698	8	1																												
2.0249660619	10852.825859	5	1																												
0.9065988057	4858.9253649	3	1																												
0.5608545654	3005.905652	3	1																												
1.5182348129	8136.9946622	1	1																												
1.3443676462	7205.1518433	6	2																												
1.0015224771	5367.6697311	3	1																												
2.0100438178	10772.849942	20	2																												
0.3475060352	1862.4620706	4	1																												
0.3966178439	2125.6773004	0																													
0.9561025136	5124.2409828	25	2																												
1.1870612001	6362.0663724	4	1																												
0.7010682068	3757.382065	5	2																												
0.6200252536	3323.0315467	1	1																												
0.1995853363	1069.6796056	1	1																												
0.3460795234	1854.8166667	20	2																												
0.8524856766	4568.9055085	2	1																												
0.6301332933	3377.2056867	2	1																												
0.1521425215	815.40936558	3	1																												
0.1395308445	747.81695663	1	1																												
0.8368821859	4485.2784441	2	1																												
0.2163665936	1159.6189222	5	1																												
0.3242570764	1737.8590435	2	1																												
1.6519051488	8853.4021638	3	1																												
0.1835177338	983.56512972	4	1																												
0.1321632082	708.33003602	2	1																												
1.0872198789	5826.9658134	2	1																												
0.24927576	1335.9959286	2	1																												
1.8955940492	10159.455262	3	1																												
0.9023347855	4836.072306	1	1																												
0.7647632314	4098.7561864	3	1																												
0.1367756418	733.05042018	2	1																												
0.7555065456	4049.1448862	3	1																												
2.0042157098	10741.614139	13	1																												
0.1722551237	923.20305793	0																													
0.3992091022	2139.5651753	0																													
0.3373428661	1807.9924645	0																													
1.0260760751	5499.2649853	0																													
3.6115788298	19356.292854	2	1																												
0.1232688963	660.66088223	6	1																												
0.4914511557	2633.9373836	6	1																												
1.6791252335	8999.2884801	12	2																												
1.2427546833	6660.5561529	1	1																												
0.4067367582	2179.9097228	2	1																												
0.363332312	1947.2831597	1	1																												
0.9868065378	5288.7995076	2	1																												
0.2584810571	1385.3318104	3	1																												
0.3997126372	2142.2638761	3	1																												
0.2160163436	1157.7417539	3	1																												
0.4766344972	2554.5273543	5	1																												
1.7611037669	9438.6532497	7	1																												
0.4239589658	2272.212317	2	1																												
1.1076216044	5936.3090652	6	1																												
0.3833269379	2054.4445571	2	1																												
0.2224877908	1192.4255397	7	1																												
0.2987126861	1600.9536283	2	1																												
0.4443049944	2381.2570604	0																													
0.5822098734	3120.3596388	1	1																												
1.064811323	5706.8669337	3	1																												
2.0399856599	10933.323544	3	1																												
0.1464679902	784.99665803	8	2																												
1.3881969651	7440.0555167	2	1																												
0.1302818653	698.24695998	1	1																												
0.6694499702	3587.9238101	1	2																												
0.1679331466	900.03937869	0																													
1.0565868711	5662.7879016	2	1																												
0.5603734482	3003.3270995	6	1																												
0.3618024962	1939.0840963	0																													
1.265331426	6781.5564311	2	1																												
0.3641695743	1951.770475	0																													
0.2398451031	1285.4522288	2	1																												
0.5429401121	2909.8929601	4	1																												
0.2820720336	1511.7678846	2	1																												
2.0719222159	11104.487835	4	1																												
1.6542850971	8866.1575205	2	1																												
1.3447145369	7207.0110078	2	1																												
1.9952601001	10693.616459	3	1																												
1.3914838995	7457.6718742	3	1																												
2.1894399384	11734.325244	0																													
1.0134740644	5431.7243829	3	1																												
1.1462843308	6143.5223337	1	1																												
1.7745208706	9510.5623514	3	1																												
1.5082037642	8083.233156	1	1																												
1.4324856329	7677.4210742	2	1																												
0.7669038879	4110.229056	2	1																												
0.233660711	1252.3069174	3	1																												
0.9788023581	5245.9010265	3	1																												
0.1555819163	833.84283609	3	1																												
0.9042704858	4846.4467112	6	2																												
0.9081041509	4866.9932779	7	1																												
1.1807961829	6328.4889504	2	1																												
0.9901988985	5306.9808985	4	1																												
1.6555485707	8872.9291201	2	1																												
0.4767902798	2555.3622727	0																													
1.1189041873	5996.7781806	2	1																												
1.2315764541	6600.6463214	8	2																												
0.7009571951	3756.7870966	10	2																												
1.5300284703	8200.2028868	1	1																												
1.229057503	6587.1459781	2	1																												
1.5927034488	8536.1100607	3	1																												
0.5241822075	2809.359783	2	1																												
0.2348349638	1258.6003366	2	1																												
0.9233038311	4948.4561159	1	1																												
0.6634035102	3555.5177471	2	1																												
1.4441806697	7740.1007409	2	1																												
1.5743900146	8437.9590272	7	1																												
1.1937355731	6397.8377416	2	1																												
1.1807961829	6328.4889504	2	1																												
1.2402093451	6646.9143874	2	1																												
1.4082201374	7547.3699084	3	1																												
1.3333024562	7145.847847	2	1																												
1.9560641487	10483.545365	4	1																												
0.4413707938	2365.5311829	0																													
0.4776800094	2560.1307872	1	1																												
1.3372010914	7166.7426216	3	1																												
0.1486434179	796.65588476	16	3																												
0.2649040182	1419.7557346	3	1																												
0.2524617293	1353.0711626	4	1																												
0.7669038879	4110.229056	1	1																												
0.4526659684	2426.0677841	6	1																												
0.9842092931	5274.8795484	4	1																												
0.2667271776	1429.5269755	2	1																												
0.5931084321	3178.7705729	2	1																												
1.1853394409	6352.8385866	2	1																												
1.5848167236	8493.8410785	3	1																												
1.4642738038	7847.790094	0																													
1.537777091	8241.7316972	6	1																												
0.1670112674	895.09855758	3	1																												
1.8314698863	9815.7811701	3	1																												
1.8949435215	10155.968753	6	1																												
0.3464950362	1857.0436116	4	1																												
0.522584146	2800.7949561	0																													
0.347540141	1862.6448613	1	1																												
0.3053859714	1636.7191678	1	1																												
1.5363197678	8233.9211587	2	1																												
0.676940525	3628.0695132	1	1																												
0.1852327227	992.75662949	2	1																												
0.2055763411	1101.7884559	2	1																												
0.5189269658	2781.1942624	3	1																												
0.2840003586	1522.1027617	0																													
0.1751238204	938.57786646	3	1																												
0.8472930228	4541.0754284	4	1																												
1.0565868711	5662.7879016	2	1																												
1.1570040485	6200.9747682	3	1																												
0.6393261118	3426.4746896	1	1																												
0.1129807503	605.5214613	10	2																												
0.1559296411	835.70647063	3	1																												
0.7667168678	4109.2267203	2	1																												
0.2317230912	1241.9222247	3	1																												
0.4861323001	2605.4309237	10	1																												
0.0763703174	409.30747999	2	1																												
1.4798815904	7931.4401825	3	1																												
0.2584280717	1385.0478344	3	1																												
0.5293242894	2836.9188222	2	1																												
0.0836019458	448.06546467	4	1																												
1.5848167236	8493.8410785	2	1																												
1.8139219992	9721.7330941	1	1																												
0.2937289975	1574.2434992	1	1																												
1.4687042658	7871.5351996	3	1																												
0.4541912737	2434.2426731	0																													
2.1832121606	11700.947407	1	1																												
0.2457469716	1317.0833518	1	1																												
0.3041835127	1630.2745782	3	1																												
0.6356520014	3406.7832582	0																													
2.2370958407	11989.737529	1	1																												
0.3977207988	2131.5885985	1	1																												
3.2371035257	17349.288717	0																													
0.2480760099	1329.5658559	4	1																												
0.4362402751	2338.0341168	6	1																												
0.5158394942	2764.6469274	4	1																												
0.5149912443	2760.1007235	3	1																												
4.0025466873	21451.688996	3	1																												
1.196965979	6415.1511342	1	1																												
0.264295408	1416.4938824	1	1																												
1.2532487756	6716.7993454	3	1																												
0.2496342645	1337.9173372	1	1																												
0.1138193814	610.0161127	4	1																												
1.5729339082	8430.1550104	1	1																												
0.1900318968	1018.4778514	2	1																												
1.0086113639	5405.662691	4	1																												
1.1852304951	6352.2546909	0																													
1.6315380486	8744.2444866	4	2																												
0.4473423102	2397.5355848	3	1																												
0.509583691	2731.1188878	0																													
0.2713688849	1454.4042524	2	1																												
1.5341464961	8222.2734873	2	1																												
0.4037074185	2163.6739464	3	1																												
0.6827940602	3659.4415936	1	1																												
1.310369477	7022.9383159	2	1																												
0.8483824682	4546.9143221	2	1																												
0.2743385927	1470.3204311	1	1																												
0.2430931772	1302.860314	10	2																												
1.532648206	8214.2433863	5	1																												
0.5867628487	3144.7613551	1	2																												
1.8556079801	9945.1495255	3	1																												
0.2714659117	1454.9242682	8	1																												
2.125937899	11393.985429	2	2																												
0.174647428	936.02463701	4	1																												
0.489752867	2624.8353883	2	1																												
0.4729347983	2534.698781	4	1																												
0.5608545654	3005.905652	1	1																												
1.6048151799	8601.0230047	0																													
1.3906774595	7453.3497511	5	1																												
1.8811011373	10081.780356	5	2																												
0.4355411693	2334.2872523	3	1																												
0.9378775314	5026.5640082	2	1																												
0.9875633218	5292.8554987	2	1																												
1.0181558847	5456.8166458	1	1																												
1.8139219992	9721.7330941	3	1																												
0.8603497893	4611.0532992	3	1																												
0.1041589147	558.24074515	0																													
0.957866615	5133.6957016	1	1																												
1.5695321405	8411.9232023	7	1																												
1.8965897331	10164.791641	1	1																												
0.3219343242	1725.4102299	2	1																												
1.2380088976	6635.1210668	5	1																												
0.2165921348	1160.8277122	3	1																												
0.1423068453	762.69496027	1	1																												
0.1206080655	646.40013322	3	1																												
