annee	mois	jour	charleville_max	cannes_max
2010	7	9	32,8	30,4
2010	7	10	35,1	32,6
2010	7	11	33	31
2010	7	12	22,8	30,7
2010	7	13	27,8	31,6
2010	7	14	32,2	30,5
2010	7	15	24,2	28,6
2010	7	16	27,7	29
2010	7	17	23	30,9
2010	7	18	24,6	30,4
2010	7	19	30,3	30,3
2010	7	20	30,8	30,1
2010	7	21	25,1	30,1
2010	7	22	24,1	29,9
2010	7	23	21,2	34,3
2010	7	24	21,3	29,5
2010	7	25	20,8	30,6
2010	7	26	21,4	28
2010	7	27	20,4	27,4
2010	7	28	25	28,4
2010	7	29	20,1	34,4
2010	7	30	24,1	29,9
2010	7	31	26	27,5
2010	8	1	22,5	27,2
2010	8	2	23,8	27,5
2010	8	3	23,4	28,3
2010	8	4	22,1	27,5
2010	8	5	20,1	30,7
2010	8	6	23,3	27,3
2010	8	7	26,3	26,2
2010	8	8	22,1	26,6
2010	8	9	24,4	26,8
2010	8	10	26,4	27,3
2010	8	11	20,8	28,6
2010	8	12	22,2	27,8
2010	8	13	20,2	27,5
2010	8	14	21,7	21,4
2010	8	15	16,4	28,4
2010	8	16	17,4	29
2010	8	17	17,6	25,6
2010	8	18	21,6	26,2
2010	8	19	22,7	27,9
2010	8	20	28,4	27,2
2010	8	21	29,3	28,7
2010	8	22	26,9	29,7
2010	8	23	22,2	30,6
2010	8	24	20,9	27,1
2010	8	25	21,7	27,4
2010	8	26	24,2	27,2
2010	8	27	22,5	30,3
2010	8	28	19,6	31,4
2010	8	29	17	28,7
2010	8	30	17,5	27
2010	8	31	26	27,5
2010	9	1	20,8	27,8
2010	9	2	21,4	25
2010	9	3	22	26,1
2010	9	4	21,9	26,9
2010	9	5	21,6	26,6
2010	9	6	20,6	25,8
2010	9	7	17,4	24,1
2010	9	8	19,4	27,8
2010	9	9	20,4	26,1
2010	9	10	20	26,3
2010	9	11	23,4	27
2010	9	12	18,5	25,4
2010	9	13	19,1	25,6
2010	9	14	20	26,3
2010	9	15	18,1	26,7
2010	9	16	17,6	27,9
2010	9	17	16,4	24,1
2010	9	18	16	24,3
2010	9	19	17,5	23,5
2010	9	20	20,8	23,6
2010	9	21	23,3	25,4
2010	9	22	24,4	25,7
2010	9	23	24,6	25,1
2010	9	24	15,9	22,3
2010	9	25	15,6	22,3
2010	9	26	11,3	22,6
2010	9	27	14,6	22,8
2010	9	28	13,2	21,5
2010	9	29	14,2	22,9
2010	9	30	11	17,2
2010	10	1	15,7	22,2
2010	10	2	17,2	23,7
2010	10	3	23,4	24,3
2010	10	4	21,7	22,9
2010	10	5	18,8	25
2010	10	6	21,7	22,5
2010	10	7	22,4	24,8
2010	10	8	20,3	22,6
2010	10	9	21,1	22,1
2010	10	10	20,9	21,2
2010	10	11	21,1	17,8
2010	10	12	18,3	22,3
2010	10	13	13,5	20,9
2010	10	14	13,4	20,8
2010	10	15	13	20,7
2010	10	16	13	21,8
2010	10	17	6,7	16,5
2010	10	18	11,8	19,6
2010	10	19	12,5	22,5
2010	10	20	9,3	22,2
