code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	allergens	allergens_fr	traces	traces_tags	traces_fr	serving_size	no_nutriments	additives_n	additives	additives_tags	additives_fr	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_uk	nutrition_grade_fr	pnns_groups_1	pnns_groups_2	states	states_tags	states_fr	main_category	main_category_fr	image_url	image_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g
0000000018357	http://world-fr.openfoodfacts.org/produit/0000000018357/peanut-butter-power-chews-sunridge	usda-ndb-import	1489138486	2017-03-10T09:34:46Z	1489138486	2017-03-10T09:34:46Z	Peanut Butter Power Chews					Sunridge	sunridge																		US	en:united-states	États-Unis	Peanut butter (dry roasted peanuts, palm oil, salt), honey, crispy brown rice (brown rice flour [rice flour, rice bran], honey, calcium carbonate), barley malt, soy lecithin (an emulsifier), sea salt, locust bean gum, carrageenan gum.						45 g (45 GRM)		3	 [ peanut-butter -> en:peanut-butter  ]  [ butter -> en:butter  ]  [ dry-roasted-peanuts -> en:dry-roasted-peanuts  ]  [ roasted-peanuts -> en:roasted-peanuts  ]  [ peanuts -> en:peanuts  ]  [ palm-oil -> en:palm-oil  ]  [ oil -> en:oil  ]  [ salt -> en:salt  ]  [ honey -> en:honey  ]  [ crispy-brown-rice -> en:crispy-brown-rice  ]  [ brown-rice -> en:brown-rice  ]  [ rice -> en:rice  ]  [ brown-rice-flour -> en:brown-rice-flour  ]  [ rice-flour -> en:rice-flour  ]  [ flour -> en:flour  ]  [ rice-flour -> en:rice-flour  ]  [ flour -> en:flour  ]  [ rice-bran -> en:rice-bran  ]  [ bran -> en:bran  ]  [ honey -> en:honey  ]  [ calcium-carbonate -> en:e170  -> exists  -- ok  ]  [ barley-malt -> en:barley-malt  ]  [ malt -> en:malt  ]  [ soy-lecithin -> en:soy-lecithin  ]  [ lecithin -> en:e322i  -> exists  -- ok  ]  [ an-emulsifier -> en:an-emulsifier  ]  [ emulsifier -> en:emulsifier  ]  [ sea-salt -> en:sea-salt  ]  [ salt -> en:salt  ]  [ locust-bean-gum -> en:e410  -> exists  -- ok  ]  [ carrageenan-gum -> en:carrageenan-gum  ]  [ gum -> en:gum  ] 	en:e170,en:e322,en:e322i,en:e410	E170 - Carbonate de calcium,E322 - Lécithines,E322i - Lécithine,E410 - Farine de graines de caroube	0			0				c			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1954		20	2.22																																			60	33.33									4.4	8.89				0.19812	0.078																					0.089		0.0016																			9	9		
0000000018371	http://world-fr.openfoodfacts.org/produit/0000000018371/real-salt-granular-redmond	usda-ndb-import	1489055713	2017-03-09T10:35:13Z	1489055713	2017-03-09T10:35:13Z	Real Salt Granular					Redmond	redmond																		US	en:united-states	États-Unis	Ancient sea salt with natural trace minerals						1.4 g (0.25 tsp)		0	 [ ancient-sea-salt-with-natural-trace-minerals -> en:ancient-sea-salt-with-natural-trace-minerals  ]  [ sea-salt-with-natural-trace-minerals -> en:sea-salt-with-natural-trace-minerals  ]  [ salt-with-natural-trace-minerals -> en:salt-with-natural-trace-minerals  ]  [ with-natural-trace-minerals -> en:with-natural-trace-minerals  ]  [ natural-trace-minerals -> en:natural-trace-minerals  ]  [ trace-minerals -> en:trace-minerals  ]  [ minerals -> en:minerals  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer																																																										96.15678	37.857																																													
0000000018388	http://world-fr.openfoodfacts.org/produit/0000000018388/organic-unswt-berry-coconut-granola-new-england-naturals	usda-ndb-import	1489055653	2017-03-09T10:34:13Z	1489055653	2017-03-09T10:34:13Z	Organic Unswt Berry Coconut Granola					New England Naturals	new-england-naturals																		US	en:united-states	États-Unis	Organic whole rolled oats, organic expeller pressed canola oil, organic raisins, organic coconut, organic corn meal, organic flax seed, organic freeze dried raspberries, organic freeze dried blueberries, organic vanilla, salt.						54 g (0.5 cup)		0	 [ organic-whole-rolled-oats -> en:organic-whole-rolled-oats  ]  [ whole-rolled-oats -> en:whole-rolled-oats  ]  [ rolled-oats -> en:rolled-oats  ]  [ oats -> en:oats  ]  [ organic-expeller-pressed-canola-oil -> en:organic-expeller-pressed-canola-oil  ]  [ expeller-pressed-canola-oil -> en:expeller-pressed-canola-oil  ]  [ pressed-canola-oil -> en:pressed-canola-oil  ]  [ canola-oil -> en:canola-oil  ]  [ oil -> en:oil  ]  [ organic-raisins -> en:organic-raisins  ]  [ raisins -> en:raisins  ]  [ organic-coconut -> en:organic-coconut  ]  [ coconut -> en:coconut  ]  [ organic-corn-meal -> en:organic-corn-meal  ]  [ corn-meal -> en:corn-meal  ]  [ meal -> en:meal  ]  [ organic-flax-seed -> en:organic-flax-seed  ]  [ flax-seed -> en:flax-seed  ]  [ seed -> en:seed  ]  [ organic-freeze-dried-raspberries -> en:organic-freeze-dried-raspberries  ]  [ freeze-dried-raspberries -> en:freeze-dried-raspberries  ]  [ dried-raspberries -> en:dried-raspberries  ]  [ raspberries -> en:raspberries  ]  [ organic-freeze-dried-blueberries -> en:organic-freeze-dried-blueberries  ]  [ freeze-dried-blueberries -> en:freeze-dried-blueberries  ]  [ dried-blueberries -> en:dried-blueberries  ]  [ blueberries -> en:blueberries  ]  [ organic-vanilla -> en:organic-vanilla  ]  [ vanilla -> en:vanilla  ]  [ salt -> en:salt  ] 			0			0				b			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1548		22.22	4.63																																			57.41	5.56									9.3	12.96				0.28194	0.111																					0.037		0.00333																			0	0		
0000000018395	http://world-fr.openfoodfacts.org/produit/0000000018395/roasted-salted-black-pepper-cashews-sunridge	usda-ndb-import	1489055654	2017-03-09T10:34:14Z	1489055654	2017-03-09T10:34:14Z	Roasted Salted Black Pepper Cashews					Sunridge	sunridge																		US	en:united-states	États-Unis	Whole cashews, sunflower oil, salt, black pepper						30 g (30 g)		0	 [ whole-cashews -> en:whole-cashews  ]  [ cashews -> en:cashews  ]  [ sunflower-oil -> en:sunflower-oil  ]  [ oil -> en:oil  ]  [ salt -> en:salt  ]  [ black-pepper -> en:black-pepper  ]  [ pepper -> en:pepper  ] 			0			0				d			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2372		46.67	8.33																																			30	6.67									3.3	16.67				1.016	0.4																					0.067		0.006																			16	16		
0000000018401	http://world-fr.openfoodfacts.org/produit/0000000018401/thai-curry-roasted-cashews-sunridge	usda-ndb-import	1489055712	2017-03-09T10:35:12Z	1489055712	2017-03-09T10:35:12Z	Thai Curry Roasted Cashews					Sunridge	sunridge																		US	en:united-states	États-Unis	Cashews, curry seasoning (salt, maltodextrin, spices, torula yeast, onion, garlic, turmeric, extractives of spice and natural flavor), canola oil.						30 g (30 g)		0	 [ cashews -> en:cashews  ]  [ curry-seasoning -> en:curry-seasoning  ]  [ seasoning -> en:seasoning  ]  [ salt -> en:salt  ]  [ maltodextrin -> en:maltodextrin  ]  [ spices -> en:spices  ]  [ torula-yeast -> en:torula-yeast  ]  [ yeast -> en:yeast  ]  [ onion -> en:onion  ]  [ garlic -> en:garlic  ]  [ turmeric -> en:turmeric  ]  [ extractives-of-spice-and -> en:extractives-of-spice-and  ]  [ of-spice-and -> en:of-spice-and  ]  [ spice-and -> en:spice-and  ]  [ and -> en:and  ]  [ natural-flavor -> en:natural-flavor  ]  [ flavor -> en:flavor  ]  [ canola-oil -> en:canola-oil  ]  [ oil -> en:oil  ] 			0			0				d			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2372		43.33	6.67																																			30	6.67									3.3	16.67				1.35382	0.533																					0.067		0.006																			15	15		
0000000018418	http://world-fr.openfoodfacts.org/produit/0000000018418/wasabi-tamari-almonds-sunridge	usda-ndb-import	1489055714	2017-03-09T10:35:14Z	1489055714	2017-03-09T10:35:14Z	Wasabi Tamari Almonds					Sunridge	sunridge																		US	en:united-states	États-Unis	Almonds, wasabi spice (salt, rice flour, evaporated cane juice, onion powder, spice extracts, horseradish powder, yeast extract, dried parsley, spice, garlic powder, citric acid), tamari shoyu sauce (water, soybeans, salt, wheat)						30 g (30 g)		1	 [ almonds -> en:almonds  ]  [ wasabi-spice -> en:wasabi-spice  ]  [ spice -> en:spice  ]  [ salt -> en:salt  ]  [ rice-flour -> en:rice-flour  ]  [ flour -> en:flour  ]  [ evaporated-cane-juice -> en:evaporated-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ onion-powder -> en:onion-powder  ]  [ powder -> en:powder  ]  [ spice-extracts -> en:spice-extracts  ]  [ extracts -> en:extracts  ]  [ horseradish-powder -> en:horseradish-powder  ]  [ powder -> en:powder  ]  [ yeast-extract -> en:yeast-extract  ]  [ extract -> en:extract  ]  [ dried-parsley -> en:dried-parsley  ]  [ parsley -> en:parsley  ]  [ spice -> en:spice  ]  [ garlic-powder -> en:garlic-powder  ]  [ powder -> en:powder  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ tamari-shoyu-sauce -> en:tamari-shoyu-sauce  ]  [ shoyu-sauce -> en:shoyu-sauce  ]  [ sauce -> en:sauce  ]  [ water -> en:water  ]  [ soybeans -> en:soybeans  ]  [ salt -> en:salt  ]  [ wheat -> en:wheat  ] 	en:e330	E330 - Acide citrique	0			0				d			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2230		46.67	3.33																																			23.33	3.33									10	20				2.032	0.8																					0.2		0.0036																			12	12		
0000000018449	http://world-fr.openfoodfacts.org/produit/0000000018449/organic-medium-shredded-coconut-unfi	usda-ndb-import	1489055683	2017-03-09T10:34:43Z	1489055683	2017-03-09T10:34:43Z	Organic Medium Shredded Coconut					Unfi	unfi																		US	en:united-states	États-Unis	Organic coconut						30 g (0.25 cup)		0	 [ organic-coconut -> en:organic-coconut  ]  [ coconut -> en:coconut  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2230		30	26.67																																			53.33	6.67									6.7	6.67												0.004																0.0024																						
0000000018456	http://world-fr.openfoodfacts.org/produit/0000000018456/organic-red-quinoa-pcc	usda-ndb-import	1489055718	2017-03-09T10:35:18Z	1489055718	2017-03-09T10:35:18Z	Organic Red Quinoa					Pcc	pcc																		US	en:united-states	États-Unis	Organic red quinoa						45 g (0.25 cup)		0	 [ organic-red-quinoa -> en:organic-red-quinoa  ]  [ red-quinoa -> en:red-quinoa  ]  [ quinoa -> en:quinoa  ] 			0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1490		6.67																																				64.44	11.11									8.9	13.33				0.01016	0.004																					0.044		0.0052																						
0000000018500	http://world-fr.openfoodfacts.org/produit/0000000018500/dark-chocolate-coconut-chews-sunridge	usda-ndb-import	1489055650	2017-03-09T10:34:10Z	1489055650	2017-03-09T10:34:10Z	Dark Chocolate Coconut Chews					Sunridge	sunridge																		US	en:united-states	États-Unis	Coconut bar (coconut, brown rice syrup), dark chocolate coating (unsweetened chocolate, dehydrated cane juice, cocoa butter, soy lecithin [as an emulsifier], natural vanilla).						40 g (40 g)		1	 [ coconut-bar -> en:coconut-bar  ]  [ bar -> en:bar  ]  [ coconut -> en:coconut  ]  [ brown-rice-syrup -> en:brown-rice-syrup  ]  [ rice-syrup -> en:rice-syrup  ]  [ syrup -> en:syrup  ]  [ dark-chocolate-coating -> en:dark-chocolate-coating  ]  [ chocolate-coating -> en:chocolate-coating  ]  [ coating -> en:coating  ]  [ unsweetened-chocolate -> en:unsweetened-chocolate  ]  [ chocolate -> en:chocolate  ]  [ dehydrated-cane-juice -> en:dehydrated-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ cocoa-butter -> en:cocoa-butter  ]  [ butter -> en:butter  ]  [ soy-lecithin -> en:soy-lecithin  ]  [ lecithin -> en:e322i  -> exists  -- ok  ]  [ as-an-emulsifier -> en:as-an-emulsifier  ]  [ an-emulsifier -> en:an-emulsifier  ]  [ emulsifier -> en:emulsifier  ]  [ natural-vanilla -> en:natural-vanilla  ]  [ vanilla -> en:vanilla  ] 	en:e322,en:e322i	E322 - Lécithines,E322i - Lécithine	0			0				e			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2092		35	25																																			52.5	37.5									7.5	5				0.127	0.05																							0.0018																			19	19		
0000000018517	http://world-fr.openfoodfacts.org/produit/0000000018517/seventh-heaven-organic-trail-mix-grizzlies	usda-ndb-import	1489055704	2017-03-09T10:35:04Z	1489055704	2017-03-09T10:35:04Z	Seventh Heaven Organic Trail Mix					Grizzlies	grizzlies																		US	en:united-states	États-Unis	Organic semi-sweet chocolate chips (organic sugar, organic chocolate liquor, organic cocoa butter, soy lecithin, organic vanilla), organic pumpkin seeds, organic almonds, organic cranberries (sweetened with organic cane juice), organic raisins, organic coconut, organic sunflower seeds.						28 g (0.25 cup)		1	 [ organic-semi-sweet-chocolate-chips -> en:organic-semi-sweet-chocolate-chips  ]  [ semi-sweet-chocolate-chips -> en:semi-sweet-chocolate-chips  ]  [ sweet-chocolate-chips -> en:sweet-chocolate-chips  ]  [ chocolate-chips -> en:chocolate-chips  ]  [ chips -> en:chips  ]  [ organic-sugar -> en:organic-sugar  ]  [ sugar -> en:sugar  ]  [ organic-chocolate-liquor -> en:organic-chocolate-liquor  ]  [ chocolate-liquor -> en:chocolate-liquor  ]  [ liquor -> en:liquor  ]  [ organic-cocoa-butter -> en:organic-cocoa-butter  ]  [ cocoa-butter -> en:cocoa-butter  ]  [ butter -> en:butter  ]  [ soy-lecithin -> en:soy-lecithin  ]  [ lecithin -> en:e322i  -> exists  -- ok  ]  [ organic-vanilla -> en:organic-vanilla  ]  [ vanilla -> en:vanilla  ]  [ organic-pumpkin-seeds -> en:organic-pumpkin-seeds  ]  [ pumpkin-seeds -> en:pumpkin-seeds  ]  [ seeds -> en:seeds  ]  [ organic-almonds -> en:organic-almonds  ]  [ almonds -> en:almonds  ]  [ organic-cranberries -> en:organic-cranberries  ]  [ cranberries -> en:cranberries  ]  [ sweetened-with-organic-cane-juice -> en:sweetened-with-organic-cane-juice  ]  [ with-organic-cane-juice -> en:with-organic-cane-juice  ]  [ organic-cane-juice -> en:organic-cane-juice  ]  [ cane-juice -> en:cane-juice  ]  [ juice -> en:juice  ]  [ organic-raisins -> en:organic-raisins  ]  [ raisins -> en:raisins  ]  [ organic-coconut -> en:organic-coconut  ]  [ coconut -> en:coconut  ]  [ organic-sunflower-seeds -> en:organic-sunflower-seeds  ]  [ sunflower-seeds -> en:sunflower-seeds  ]  [ seeds -> en:seeds  ] 	en:e322,en:e322i	E322 - Lécithines,E322i - Lécithine	0			0							en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					2092		32.14	10.71																																			46.43	35.71									7.1	14.29							0.0004287																					0.00129																						
0000000018524	http://world-fr.openfoodfacts.org/produit/0000000018524/organic-unsweetened-granola-cinnamon-almond-new-england-naturals	usda-ndb-import	1489055720	2017-03-09T10:35:20Z	1489055720	2017-03-09T10:35:20Z	Organic Unsweetened Granola, Cinnamon Almond					New England Naturals	new-england-naturals																		US	en:united-states	États-Unis	Organic whole rolled oates, organic raisins, organic expeller pressed canola oil, organic flax seed, organic corn meal, organic almonds, organic coconut, organic cinnamon, salt.						51 g (0.5 cup)		0	 [ organic-whole-rolled-oates -> en:organic-whole-rolled-oates  ]  [ whole-rolled-oates -> en:whole-rolled-oates  ]  [ rolled-oates -> en:rolled-oates  ]  [ oates -> en:oates  ]  [ organic-raisins -> en:organic-raisins  ]  [ raisins -> en:raisins  ]  [ organic-expeller-pressed-canola-oil -> en:organic-expeller-pressed-canola-oil  ]  [ expeller-pressed-canola-oil -> en:expeller-pressed-canola-oil  ]  [ pressed-canola-oil -> en:pressed-canola-oil  ]  [ canola-oil -> en:canola-oil  ]  [ oil -> en:oil  ]  [ organic-flax-seed -> en:organic-flax-seed  ]  [ flax-seed -> en:flax-seed  ]  [ seed -> en:seed  ]  [ organic-corn-meal -> en:organic-corn-meal  ]  [ corn-meal -> en:corn-meal  ]  [ meal -> en:meal  ]  [ organic-almonds -> en:organic-almonds  ]  [ almonds -> en:almonds  ]  [ organic-coconut -> en:organic-coconut  ]  [ coconut -> en:coconut  ]  [ organic-cinnamon -> en:organic-cinnamon  ]  [ cinnamon -> en:cinnamon  ]  [ salt -> en:salt  ] 			0			0				a			en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded	en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded	A compléter,Informations nutritionnelles complétées,Ingrédients complétés,Date limite à compléter,en:Packaging-code-to-be-completed,Caractéristiques à compléter,Catégories à compléter,Marques complétées,Emballage à compléter,Quantité à compléter,Nom du produit complete,Photos à envoyer					1887		21.57	3.92																																			58.82	3.92									9.8	11.76				0.27432	0.108																					0.078		0.00353																			-1	-1		
