,fpr,tpr,th
0,0.0,0.0007593014426727411,0.9962017788889062
1,0.0,0.0015186028853454822,0.9959464340315712
2,0.0,0.002277904328018223,0.9955163159722383
3,0.0,0.0030372057706909645,0.9952869828858086
4,0.0,0.0037965072133637054,0.9951894074930843
5,0.0,0.004555808656036446,0.9950446484411681
6,0.0,0.005315110098709187,0.994938758994982
7,0.0,0.006074411541381929,0.9946992974882273
8,0.0,0.00683371298405467,0.9944540566483747
9,0.0,0.007593014426727411,0.9943814837754803
10,0.0,0.008352315869400152,0.9943422858644548
11,0.0,0.009111617312072893,0.9942646111556819
12,0.0,0.009870918754745633,0.9941909764496137
13,0.0,0.010630220197418374,0.9940610784110195
14,0.0,0.011389521640091117,0.9940548023457292
15,0.0,0.012148823082763858,0.9938377985667524
16,0.0,0.012908124525436599,0.9937729116726682
17,0.0,0.01366742596810934,0.9937584027902338
18,0.0,0.01442672741078208,0.9936917574295054
19,0.0,0.015186028853454821,0.9936136189847912
20,0.0,0.015945330296127564,0.9935657362281519
21,0.0,0.016704631738800303,0.9935650787868733
22,0.0,0.017463933181473046,0.9935622960430008
23,0.0,0.018223234624145785,0.9935510721700104
24,0.0,0.018982536066818528,0.9933602116243683
25,0.0,0.019741837509491267,0.993219466975936
26,0.0,0.02050113895216401,0.9931649434137638
27,0.0,0.02126044039483675,0.9929940532299165
28,0.0,0.02201974183750949,0.9929777750509114
29,0.0,0.022779043280182234,0.9929245723255617
30,0.0,0.023538344722854973,0.9929181277480204
31,0.0,0.024297646165527716,0.9928465943253518
32,0.0,0.025056947608200455,0.9926029968687189
33,0.0,0.025816249050873197,0.9924855810695614
34,0.0,0.026575550493545937,0.9924274802571535
35,0.0,0.02733485193621868,0.9923800754943024
36,0.0,0.02809415337889142,0.9923679825520845
37,0.0,0.02885345482156416,0.9919502760451931
38,0.0,0.029612756264236904,0.9919436738101306
39,0.0,0.030372057706909643,0.9919127925185951
40,0.0,0.031131359149582385,0.9918477630728472
41,0.0,0.03189066059225513,0.9917533419759327
42,0.0,0.032649962034927864,0.9917432502909352
43,0.0,0.033409263477600606,0.9917417646087484
44,0.0,0.03416856492027335,0.9917070174910563
45,0.0,0.03492786636294609,0.9916149389932044
46,0.0,0.03568716780561883,0.9915762178380662
47,0.0,0.03644646924829157,0.9915757727719936
48,0.0,0.03720577069096431,0.9915515425868224
49,0.0,0.037965072133637055,0.9915436862543631
50,0.0,0.0387243735763098,0.991474895888105
51,0.0,0.039483675018982534,0.9914254560975992
52,0.0,0.040242976461655276,0.991360432387637
53,0.0,0.04100227790432802,0.9913566242288949
54,0.0,0.04176157934700076,0.9912638664100739
55,0.0,0.0425208807896735,0.9912624793922006
56,0.0,0.04328018223234624,0.9912131616298688
57,0.0,0.04403948367501898,0.9912037490425012
58,0.0,0.044798785117691725,0.9911650736415895
59,0.0,0.04555808656036447,0.9910594013451263
60,0.0,0.0463173880030372,0.9910408554443624
61,0.0,0.047076689445709946,0.9910406047816712
62,0.0,0.04783599088838269,0.9910403226986924
63,0.0,0.04859529233105543,0.9909744938272536
64,0.0,0.04935459377372817,0.9909694759753916
65,0.0,0.05011389521640091,0.9909561222903415
66,0.0,0.05087319665907365,0.9909537161661365
67,0.0,0.051632498101746395,0.9909127766651165
68,0.0,0.05239179954441914,0.9909108964204661
69,0.0,0.05315110098709187,0.9908279303291959
70,0.0,0.053910402429764616,0.990807111169052
71,0.0,0.05466970387243736,0.9907701998421038
72,0.0,0.0554290053151101,0.9907426895525389
73,0.0,0.05694760820045558,0.9907084210550949
74,0.0,0.05770690964312832,0.9905778137248537
75,0.0,0.058466211085801065,0.9905336980011238
76,0.0,0.05922551252847381,0.9905165057232641
77,0.0,0.05998481397114654,0.9904992127704891
78,0.0,0.060744115413819286,0.9904905863073007
79,0.0,0.06150341685649203,0.9904062095685605
80,0.0,0.06226271829916477,0.9903577567254824
81,0.0,0.0630220197418375,0.9903340882058309
82,0.0,0.06378132118451026,0.990324163697642
83,0.0,0.06454062262718299,0.9902782991712754
84,0.0,0.06529992406985573,0.9902597945019929
85,0.0,0.06605922551252848,0.9902496619598627
86,0.0,0.06681852695520121,0.9902048213470093
87,0.0,0.06757782839787396,0.990192179143772
88,0.0,0.0683371298405467,0.99017992536832
89,0.0,0.06909643128321943,0.9900677527061978
90,0.0,0.06985573272589218,0.9900271505207557
91,0.0,0.07061503416856492,0.9900030114502655
92,0.0,0.07137433561123765,0.9899530687881437
93,0.0,0.0721336370539104,0.9899195648852313
94,0.0,0.07289293849658314,0.9899094309224197
95,0.0,0.07365223993925589,0.989888517199416
96,0.0,0.07517084282460136,0.9898164787363242
97,0.0,0.07593014426727411,0.9897614643173805
98,0.0,0.07668944570994685,0.9897569182406948
99,0.0,0.0774487471526196,0.9897342146995961
100,0.0,0.07820804859529233,0.9897261125241065
101,0.0,0.07896735003796507,0.989597641923248
102,0.0,0.07972665148063782,0.9895909586988783
103,0.0,0.08048595292331055,0.9895843982032794
104,0.0,0.08200455580865604,0.9895801909482997
105,0.0,0.08276385725132877,0.9895592709449778
106,0.0,0.08352315869400152,0.9895588519010332
107,0.0,0.08428246013667426,0.98953360696835
108,0.0,0.085041761579347,0.9895170702420124
109,0.0,0.08580106302201974,0.9894846513130182
110,0.0,0.08656036446469248,0.9894670294079176
111,0.0,0.08807896735003796,0.9894007148699525
112,0.0,0.0888382687927107,0.9893971914087369
113,0.0,0.08959757023538345,0.9893485891523609
114,0.0,0.09035687167805619,0.9893055440629782
115,0.0,0.09111617312072894,0.9893002412597355
