Project,Version,num_downloads,month
pymmails,10.11.6,1,201610
pyquickhelper,2019.1,3,201902
jyquickhelper,18.04,21,201808
jyquickhelper,17.10,2,201802
pyensae,10.12.4,1,201705
jyquickhelper,7.2,1,201904
pyrsslocal,10.14.2,2,201901
pyensae,10.9.5,1,201709
mlinsights,9,6,201807
pymmails,10.11.4,1,201610
jyquickhelper,9,1,201806
jyquickhelper,rolling,1,201704
mlstatpy,,169,201808
pyensae,12.04,27,201704
jyquickhelper,8,16,201712
pyrsslocal,10.11.6,1,201704
pymyinstall,16.04,3,201803
jyquickhelper,stable-updates,1,201904
mlinsights,10.14.1,1,201811
manydataapi,,67,201807
pymyinstall,14.04,1,201612
mlstatpy,10.10.5,1,201812
jyquickhelper,10.12.5,7,201706
jyquickhelper,2019,1,201902
pyquickhelper,10.11.6,2,201906
jupytalk,9,2,201903
pyrsslocal,14.04,71,201801
pyquickhelper,19.04,1,201906
jyquickhelper,18.3,1,201803
pyquickhelper,14.04,13,201904
pyquickhelper,,806,201906
teachpyx,9,2,201901
skl2onnx,2,1,201905
scikit-onnxruntime,10.14.4,1,201905
jyquickhelper,7.4,3,201903
jyquickhelper,kali-rolling,1,201703
mlstatpy,14.04,24,201802
skl2onnx,17.10,2,201904
pyquickhelper,rolling,1,201810
lightmlrestapi,16.04,4,201904
pyenbc,,88,201902
pyensae,10.11.6,9,201809
pyensae,8,24,201708
pyquickhelper,10.12.6,1,201707
pyrsslocal,8,8,201708
pyrsslocal,17.04,1,201705
mlinsights,10.14.4,2,201904
mlstatpy,jessie/sid,1,201712
pyquickhelper,18.04,37,201810
pymyinstall,10.9.5,1,201709
manydataapi,10.14,1,201903
tkinterquickhelper,,132,201807
jupytalk,6.2,2,201608
jyquickhelper,6,1,201903
pyquickhelper,18.1,2,201707
cpyquickhelper,7,1,201801
tkinterquickhelper,10.13.4,1,201805
pymyinstall,18.04,5,201906
pymyinstall,10.13.5,1,201806
jyquickhelper,10.12.6,11,201709
nimbusml,18.04,69,201905
jyquickhelper,18.3,1,201903
sparkouille,,58,201812
pyquickhelper,18.08,3,201812
pymyinstall,,23850,201609
jyquickhelper,10.12,4,201611
onnxruntime,10.13.6,2028,201904
papierstat,16.04,1,201807
cpyquickhelper,,203,201802
tkinterquickhelper,18.04,1,201804
papierstat,,161,201803
lightmlrestapi,14.04,25,201712
jyquickhelper,2,2,201805
mlstatpy,jessie/sid,8,201609
pyenbc,8,3,201811
nimbusml,18.04,3,201810
pyquickhelper,10.8.5,1,201703
papierstat,16.04,1,201805
jyquickhelper,10.14,1,201904
cpyquickhelper,16.04,2,201811
tkinterquickhelper,10.10.5,1,201708
pymyinstall,16.04,3,201804
mlstatpy,14.04,2,201806
pyquickhelper,2018.1,1,201803
pyquickhelper,10.12.4,1,201703
cpyquickhelper,18.04,1,201807
jyquickhelper,18.1,1,201905
pymyinstall,7.4,1,201902
tkinterquickhelper,20171123,1,201711
pymyinstall,19.04,1,201906
pyensae,18.0.4,1,201904
jyquickhelper,10.12.4,2,201808
skl2onnx,stretch/sid,2240,201905
pyensae,6.10,1,201902
jyquickhelper,16.04,371,201902
pyrsslocal,jessie/sid,1,201607
onnxruntime,10.14.5,624,201906
pymyinstall,rolling,1,201805
pyquickhelper,3.8.0,1,201810
jyquickhelper,26,1,201802
mlstatpy,10.9.5,2,201809
pyensae,,9270,201606
pyrsslocal,,315,201711
pyrsslocal,,101,201811
skl2onnx,18.10,1,201902
pyensae,10.9.5,1,201610
jupytalk,8,1,201611
mlstatpy,17.3,1,201609
mlinsights,7.6,1,201904
pyensae,17.04,1,201707
tkinterquickhelper,7,1,201712
pyrsslocal,18.04,13,201904
pyquickhelper,10.11.2,1,201709
nimbusml,10.14.3,13,201905
lightmlboard,16.04,3,201807
pymyinstall,6.9,1,201711
pyensae,10.13.6,4,201808
jyquickhelper,29,3,201902
teachpyx,16.04,4,201807
teachpyx,,289,201612
pyquickhelper,10.12.3,9,201703
pyrsslocal,14.04,1,201811
jyquickhelper,10.12,1,201612
pyquickhelper,10.10.1,1,201711
pyquickhelper,,1014,201805
pyensae,10.12.5,1,201808
pyquickhelper,28,3,201808
jyquickhelper,10.6.8,2,201709
mlstatpy,,84,201804
scikit-onnxruntime,16.04,3,201906
pyrsslocal,9,1,201711
sparkouille,18.04,2,201901
pyquickhelper,10.12,1,201708
pyrsslocal,,52,201807
pyquickhelper,7.2,2,201609
teachpyx,,56,201806
pyquickhelper,10.11.6,9,201706
pyquickhelper,1.6,2,201803
jyquickhelper,18.3,2,201811
tkinterquickhelper,16.10,1,201903
jyquickhelper,8,34,201803
mlstatpy,14.04,38,201705
pyensae,10.11.2,1,201709
pyensae,10.11.4,1,201707
csharpy,9,15,201901
pymyinstall,10.11.1,1,201601
pyensae,10.10.5,1,201801
pymmails,10.13.2,1,201711
teachpyx,,89,201804
jyquickhelper,9,29,201809
onnxruntime,7,59,201905
teachpyx,7,1,201812
pyrsslocal,10.14.1,1,201812
tkinterquickhelper,14.04,2,201706
pyquickhelper,10.14.2,2,201904
jyquickhelper,7.4.1708,1,201812
onnxruntime,10.12,1,201902
csharpyml,16.04,2,201811
jyquickhelper,v19.04.4,1,201905
pyquickhelper,10.12.3,1,201704
jyquickhelper,10.14.4,19,201904
pyquickhelper,8,37,201711
pyensae,6.7,1,201610
pyensae,8,1,201812
nimbusml,10.13.2,1,201905
mlprodict,,65,201902
lightmlrestapi,16.04,8,201809
pyquickhelper,15.8,1,201812
pyquickhelper,6,3,201810
jyquickhelper,15.5 Beta,1,201711
pyrsslocal,10.12,1,201709
mlinsights,10.13.4,1,201901
jyquickhelper,10.12.3,5,201704
nimbusml,jessie/sid,1,201811
jyquickhelper,17.04,3,201706
mlstatpy,10.9.5,1,201610
pyquickhelper,10.13.4,1,201905
pymmails,10.10.5,3,201609
jyquickhelper,10.12.4,1,201703
jyquickhelper,15.9,1,201903
pyensae,8,1,201803
teachpyx,9,4,201903
jyquickhelper,18.1,1,201902
papierstat,16.04,1,201808
tkinterquickhelper,18.2,1,201801
pyquickhelper,42.1,2,201612
manydataapi,8,3,201811
jyquickhelper,10.14,6,201812
pymyinstall,stretch/sid,1,201609
pyquickhelper,9,6,201712
mlstatpy,,992,201703
mlstatpy,18.04,13,201902
tkinterquickhelper,17.10,1,201906
pyensae,10.12.1,2,201701
tkinterquickhelper,,675,201705
cpyquickhelper,7,1,201811
skl2onnx,10.13.4,1,201906
pyquickhelper,4.5,1,201902
jyquickhelper,1.6,2,201808
jyquickhelper,7.2,1,201802
pyquickhelper,16.04,8,201609
jyquickhelper,16.04,5,201708
pymyinstall,10.9.5,1,201603
nimbusml,10.13.6,1,201812
skl2onnx,10.14.1,6,201905
skl2onnx,10.14.2,6,201904
pyensae,7.5,1,201805
sparkouille,,72,201808
mlstatpy,7,1,201811
pyquickhelper,19.04,10,201905
pyrsslocal,7,1,201801
pyenbc,,65,201904
mlstatpy,14.04,1,201811
jyquickhelper,wheezy/sid,210,201701
mlinsights,,134,201906
pyquickhelper,7,40,201811
mlstatpy,14.04,25,201706
lightmlrestapi,9,1,201808
tkinterquickhelper,10.14,3,201902
jyquickhelper,29,1,201904
onnxruntime,18.10,1,201902
onnxruntime,10.14.4,70,201905
pyensae,,10207,201608
pymyinstall,42.1,3,201612
tkinterquickhelper,9,60,201810
pymyinstall,10.13.6,2,201807
pyquickhelper,8.4,1,201606
jyquickhelper,16.04,364,201809
mlstatpy,10.13.5,1,201812
pyquickhelper,6,4,201705
sparkouille,,52,201811
pyrsslocal,10.13.6,2,201810
tkinterquickhelper,16.04,3,201707
pyquickhelper,18.08,3,201902
skl2onnx,10.14.3,23,201905
pyensae,14.04,80,201802
skl2onnx,10.11.6,1,201905
mlinsights,14.04,10,201807
pymmails,7,1,201801
pyensae,19.04,2,201905
pyquickhelper,10.12.1,1,201709
pyensae,12.2,2,201811
pyensae,8,2,201904
pymmails,10.12.6,8,201709
lightmlboard,,186,201807
pyenbc,18.04,1,201810
pymyinstall,10.13.2,1,201711
pymyinstall,wheezy/sid,38,201605
jyquickhelper,2018.4,1,201811
pyquickhelper,2017.3,2,201801
pyensae,wheezy/sid,87,201607
teachpyx,14.04,2,201610
pyensae,10.12.6,5,201810
mlstatpy,8,1,201711
csharpyml,16.04,6,201809
pysqllike,16.04,2,201611
pysqllike,,176,201602
nimbusml,2018.03,1,201905
tkinterquickhelper,14.04,21,201801
jyquickhelper,6,5,201706
tkinterquickhelper,10.14.1,4,201812
nimbusml,30,1,201906
pyensae,10.12,1,201709
pymyinstall,,2167,201810
tkinterquickhelper,,152,201806
tkinterquickhelper,14.04,2,201903
pymmails,12.04,27,201704
csharpy,,267,201903
jyquickhelper,8,4,201811
jyquickhelper,,596,201803
pyensae,,270,201906
pyrsslocal,9,124,201810
tkinterquickhelper,18.08.32,4,201906
pyensae,10.13.2,1,201812
nimbusml,26,1,201905
onnxruntime,7.2,1,201903
pyensae,17.10,1,201711
pyensae,wheezy/sid,4,201701
pymyinstall,16.04,2,201706
jyquickhelper,14.04,20,201811
tkinterquickhelper,10.14.3,1,201902
pymyinstall,14.04,5,201812
jyquickhelper,10.11.5,2,201612
cpyquickhelper,,56,201807
pymmails,10.9.5,1,201610
jyquickhelper,19,5,201901
pyenbc,10.13.3,2,201809
jyquickhelper,6.6,1,201811
tkinterquickhelper,,842,201708
tkinterquickhelper,17.10,2,201802
pyensae,10.14.3,14,201903
jupytalk,,267,201812
pyquickhelper,9,10,201711
pyrsslocal,10.11.1,1,201601
pyquickhelper,7.6,2,201904
pyensae,10.13.3,2,201803
tkinterquickhelper,17.10,1,201810
mlinsights,,50,201804
nimbusml,10.14.1,4,201905
jyquickhelper,12.04,224,201701
pyenbc,10.14,1,201809
lightmlrestapi,,93,201809
jyquickhelper,,680,201811
mlprodict,,67,201812
jyquickhelper,2017.1,2,201708
tkinterquickhelper,27,1,201804
tkinterquickhelper,18.10,3,201904
pysqllike,,92,201805
csharpy,8,13,201809
pymyinstall,16.04,2,201802
jyquickhelper,10.13.3,1,201805
pyrsslocal,,103,201812
pyquickhelper,10.12.1,4,201701
pyquickhelper,9,2,201803
onnxruntime,10.14.2,8,201812
teachpyx,,641,201610
pyensae,10.11.5,1,201609
mlstatpy,18,1,201902
jyquickhelper,18,1,201801
pyensae,10.13.6,8,201901
