Project,Version,num_downloads,month
pymyinstall,,710,201901
jyquickhelper,18.0.4,2,201903
pyensae,19.1,1,201904
pyquickhelper,10.11.4,1,201711
teachpyx,7,1,201802
pymmails,9,2,201902
mlstatpy,10.13.3,2,201809
lightmlboard,16.04,2,201811
pyensae,stretch/sid,1,201608
jupytalk,,363,201810
pyquickhelper,18.1,1,201902
pymmails,7,1,201805
pyquickhelper,16.04,12,201701
teachpyx,2018.2,1,201808
jyquickhelper,14.04,1,201612
jyquickhelper,18,1,201805
pymmails,16.04,24,201904
pymmails,7,1,201706
pyensae,10.13.6,15,201812
onnxruntime,10.14.2,15,201903
pyensae,10.12.4,1,201704
cpyquickhelper,9,23,201906
pymyinstall,10.13.3,1,201803
jyquickhelper,28,1,201807
onnxruntime,10.14,8,201903
pymyinstall,10.11.4,1,201701
pymmails,14.04,57,201705
pymyinstall,,784,201809
cpyquickhelper,9,52,201905
pyenbc,,110,201711
jyquickhelper,16.10,1,201903
pyquickhelper,18.08.31.1,2,201905
pymyinstall,stretch/sid,1,201612
teachpyx,16.04,1,201610
pyensae,10.9.5,1,201601
tkinterquickhelper,1.6,1,201712
jyquickhelper,26,1,201709
cpyquickhelper,9,21,201902
pyquickhelper,10.11.6,1,201901
pyquickhelper,9,88,201904
jyquickhelper,testing,1,201612
mlinsights,29,1,201902
tkinterquickhelper,9,26,201903
pyquickhelper,10.13.2,3,201711
jyquickhelper,10.11.6,2,201801
papierstat,,170,201812
pyensae,kali-rolling,1,201609
jyquickhelper,5.3,1,201901
jyquickhelper,16.10,1,201806
papierstat,,185,201902
pyquickhelper,7,20,201812
pyquickhelper,7.5,2,201906
mlinsights,9,1,201904
jyquickhelper,17.10,2,201803
pyquickhelper,10.12.6,2,201802
jyquickhelper,2019,1,201903
pymmails,12.04,38,201705
jyquickhelper,8,2,201702
pyquickhelper,,3523,201702
jyquickhelper,16.04,11,201803
tkinterquickhelper,10.12.5,1,201709
onnxruntime,18.04,231,201902
pyrsslocal,10.14,1,201902
mlstatpy,14.04,45,201712
pyquickhelper,7.6,1,201903
mlstatpy,10.12.4,1,201712
jyquickhelper,14.04,366,201711
tkinterquickhelper,15.5,1,201801
pyenbc,,64,201802
pyquickhelper,10.13.4,1,201903
csharpyml,,113,201905
nimbusml,10.14.3,4,201904
mlstatpy,,220,201611
pysqllike,16.04,2,201610
onnxruntime,10.14.1,14,201812
lightmlboard,,369,201902
pyquickhelper,20180410,1,201804
pymyinstall,10.11.6,1,201712
pymmails,14.04,101,201708
jyquickhelper,26,2,201710
pyquickhelper,10.13.3,1,201810
mlstatpy,16.04,2,201703
pyquickhelper,8.7,1,201704
pyquickhelper,10.11.6,3,201612
pyensae,10.13.3,2,201802
scikit-onnxruntime,,578,201903
onnxruntime,14.04,203,201906
nimbusml,10.13.3,1,201906
jyquickhelper,rolling,1,201810
jyquickhelper,17.10,1,201906
pyensae,10.13.5,1,201809
pyrsslocal,18.10,1,201812
pymmails,,256,201809
pyrsslocal,10.14,1,201809
pyensae,16.10,2,201702
jyquickhelper,5.0,2,201903
pyquickhelper,14.04,1,201603
teachpyx,,431,201709
skl2onnx,9,1,201901
lightmlboard,,355,201812
pymyinstall,10.13.2,2,201801
pymmails,10.10.5,1,201812
cpyquickhelper,,314,201811
cpyquickhelper,16.04,2,201803
skl2onnx,19.04,2,201904
pyrsslocal,10.13.4,2,201809
pyensae,10.13.3,1,201810
pymmails,10.14.3,1,201904
jyquickhelper,rolling,1,201901
pyquickhelper,2018.03,4,201903
pyquickhelper,20180330,1,201804
pyensae,24,1,201811
tkinterquickhelper,14.04,2,201705
pyensae,7.2,2,201803
tkinterquickhelper,10.14.2,3,201901
lightmlrestapi,14.04,4,201805
pyquickhelper,29,1,201905
skl2onnx,2018.03,1,201904
pyensae,10.12,1,201611
tkinterquickhelper,14.04,2,201806
pysqllike,7,1,201611
pyquickhelper,14.04,96,201703
jyquickhelper,6,3,201711
pysqllike,18.3,1,201809
pyrsslocal,12.04,86,201612
manydataapi,8,2,201805
lightmlboard,17.10,1,201804
jyquickhelper,10.10.5,1,201906
pyquickhelper,12.2,2,201811
pyrsslocal,18.04,2,201901
papierstat,,123,201805
jyquickhelper,7.6,2,201901
tkinterquickhelper,10.10.5,1,201705
pyquickhelper,20190525,1,201905
pyensae,10.10.5,8,201601
pysqllike,8,1,201711
pymmails,,223,201810
onnxruntime,27,1,201811
tkinterquickhelper,15.9.1,1,201902
scikit-onnxruntime,,103,201906
pyrsslocal,14.04,82,201712
tkinterquickhelper,18.08,7,201810
jyquickhelper,,810,201702
nimbusml,7.6,1,201905
skl2onnx,14.04,199,201906
onnxruntime,stable-updates,1,201902
jyquickhelper,10.14,7,201901
pyquickhelper,18.3,1,201812
pyquickhelper,18.2,1,201709
jyquickhelper,18.04,17,201906
jyquickhelper,18.3,1,201812
pyensae,10.13.1,1,201807
pyquickhelper,10.13.5,1,201808
pymmails,14.04,30,201802
pyensae,10.14,7,201811
pymyinstall,7,1,201710
lightmlboard,,193,201806
onnxruntime,6.9,1,201811
pyrsslocal,18.04,5,201906
pyenbc,16.04,17,201807
pyensae,18.04,19,201811
pyquickhelper,6.0,1,201809
skl2onnx,18.04,34,201902
pyquickhelper,10.10.5,1,201701
jyquickhelper,18.1,2,201707
pyenbc,10.14,1,201902
pymmails,,61,201806
pyensae,18.04,16,201810
papierstat,,251,201809
tkinterquickhelper,2018.4,2,201809
pyquickhelper,14.04,275,201712
jyquickhelper,6,6,201806
jyquickhelper,16.04,16,201709
pyquickhelper,10.12.5,2,201809
jyquickhelper,10.12.6,2,201904
manydataapi,18.04,3,201906
pymyinstall,,8019,201605
pyquickhelper,17.10,2,201805
pyquickhelper,10.13.2,1,201812
jyquickhelper,,679,201902
pymmails,16.04,4,201701
pyensae,9,139,201810
mlprodict,16.04,1,201802
mlstatpy,2019.1,1,201812
pyensae,16.04,9,201707
manydataapi,9,2,201807
pymmails,14.1,1,201609
jyquickhelper,8,11,201804
mlinsights,10.14.3,3,201903
pyrsslocal,16.04,5,201709
jyquickhelper,10.13.2,2,201811
lightmlrestapi,9,1,201904
tkinterquickhelper,10.14,2,201901
jupytalk,10.14.4,1,201905
jyquickhelper,stretch/sid,1,201612
pyquickhelper,10.12.4,1,201712
jupytalk,7,1,201812
pysqllike,,457,201801
pyquickhelper,6,8,201609
pyquickhelper,10.6.8,1,201709
pyensae,7.4,2,201708
mlstatpy,jessie/sid,2,201610
pyenbc,,76,201812
manydataapi,14.04,5,201807
cpyquickhelper,18.04,1,201812
jyquickhelper,10.14.1,3,201902
pyensae,0.4.1,2,201903
tkinterquickhelper,16.04,6,201802
tkinterquickhelper,2018.4,1,201902
pymyinstall,12.04,22,201706
manydataapi,9,2,201812
csharpy,18.04,1,201807
pyquickhelper,16.04,4,201703
lightmlrestapi,16.04,40,201812
pyensae,10.12,1,201609
mlstatpy,8,1,201902
mlinsights,,473,201808
mlinsights,7.6,1,201903
pyenbc,18.04,3,201906
jyquickhelper,15.7,1,201809
pyensae,12.04,70,201701
pyensae,2,1,201705
jyquickhelper,18.1,3,201710
pymyinstall,9,35,201901
onnxruntime,18.10,2,201901
onnxruntime,14.04,71,201903
skl2onnx,5.0,1,201904
onnxruntime,10.13.3,1,201902
pyquickhelper,16.04,6,201702
pyensae,10.11.4,2,201711
jupytalk,16.04,2,201803
pyquickhelper,8,1,201705
pyquickhelper,14.04,9,201812
jyquickhelper,2018.2,1,201810
jupytalk,17.10,1,201804
pyenbc,16.04,22,201905
pyquickhelper,25,1,201710
pyquickhelper,3.5.2,1,201705
pyquickhelper,3.8.0,1,201809
pyensae,10.11.4,2,201610
pyrsslocal,18.04,12,201902
jyquickhelper,20171123,1,201711
sparkouille,16.04,1,201902
pyquickhelper,,2285,201808
pyquickhelper,17.1.6,1,201804
tkinterquickhelper,9,14,201812
tkinterquickhelper,7,2,201901
jyquickhelper,7,1,201706
pyquickhelper,15.5,3,201802
teachpyx,16.04,1,201708
jyquickhelper,10.12.5,6,201707
tkinterquickhelper,18.1,1,201902
pyensae,10.11.4,1,201701
manydataapi,10.11.6,1,201810
mlstatpy,,2927,201609
pymmails,,229,201902
scikit-onnxruntime,,312,201905
papierstat,7.2,1,201803
lightmlrestapi,16.04,37,201811
pymyinstall,12.04,1,201710
tkinterquickhelper,10.14.2,1,201904
onnxruntime,17.10,2,201812
pymyinstall,12.04,86,201612
jyquickhelper,10.13.2,5,201801
jyquickhelper,15.4.1,1,201710
jyquickhelper,26,1,201707
pyensae,10.12.3,5,201710
jyquickhelper,10.11.6,4,201903
csharpyml,,129,201810
lightmlboard,17.04,1,201801
pyquickhelper,23,2,201701
onnxruntime,10.12.6,4,201903
pyensae,10.12.5,1,201809
jyquickhelper,8,1,201701
pyquickhelper,8.4,1,201605
csharpy,8,1,201807
pymmails,16.04,39,201905
jyquickhelper,10.12.5,1,201711
pyquickhelper,5.3,1,201810
pyensae,10.11.3,1,201705
onnxruntime,6.8,1,201906
teachpyx,15.0,2,201905
teachpyx,,114,201812
pyquickhelper,wheezy/sid,283,201608
onnxruntime,rolling,4,201901
pyquickhelper,19,1,201904
jyquickhelper,14.04,342,201805
mlstatpy,,570,201702
mlstatpy,,697,201711
pymyinstall,18.04,4,201811
pyensae,12.04,97,201612
pyrsslocal,9,1,201903
pyensae,14.04,77,201710
jupytalk,18.04,1,201905
pymyinstall,,9881,201610
skl2onnx,18.04,305,201905
nimbusml,18.04,8,201904
jyquickhelper,stretch/sid,2,201707
pyensae,16.04,34,201906
pyquickhelper,10.11.6,4,201709
jyquickhelper,16.04,15,201805
onnxruntime,rolling,1,201904
pyensae,10.13.3,1,201804
jyquickhelper,16.04,5,201703
jyquickhelper,16.04,132,201906
csharpyml,9,1,201807
skl2onnx,10.13.1,1,201903
onnxruntime,18.10,6,201905
papierstat,18.04,1,201809
manydataapi,16.04,45,201809
nimbusml,19.1,3,201905
jyquickhelper,10.13.5,1,201812
pyensae,16.10,1,201703
pyquickhelper,10.11.6,7,201809
pymmails,wheezy/sid,22,201601
pyquickhelper,20190310,1,201903
jyquickhelper,18,1,201903
tkinterquickhelper,,166,201803
jyquickhelper,10.13.6,140,201903
manydataapi,10.13.6,1,201810
pyquickhelper,10.11.6,6,201608
pyensae,rolling,1,201807
mlstatpy,,599,201704
teachpyx,17.04,1,201801
jyquickhelper,7,12,201904
csharpyml,16.04,1,201807
nimbusml,,4779,201810
pyrsslocal,8,3,201707
pysqllike,12.04,1,201711
pyensae,7.4.1708,1,201812
jyquickhelper,7,19,201812
lightmlrestapi,16.04,16,201902
tkinterquickhelper,14.04,1,201810
pysqllike,8,1,201704
pysqllike,,463,201711
mlstatpy,,1104,201701
pyquickhelper,10.13,2,201805
pyrsslocal,8,2,201712
pyensae,2018.03,4,201903
teachpyx,10.12.6,1,201711
pyensae,20160505,1,201611
pyquickhelper,6,21,201701
pyquickhelper,10.13.6,24,201904
jyquickhelper,10.12.4,1,201712
mlstatpy,2,1,201902
pyrsslocal,10.11.2,1,201709
pyquickhelper,10.13.4,1,201808
pymmails,jessie/sid,1,201610
onnxruntime,18.04,1176,201905
pyquickhelper,10.12.1,5,201612
skl2onnx,,641,201902
pyrsslocal,,383,201705
jupytalk,16.04,2,201710
nimbusml,stretch/sid,656,201906
mlinsights,10.14,2,201901
pyquickhelper,20190403,1,201904
jyquickhelper,10.14,2,201905
pyquickhelper,2,2,201905
pysqllike,16.04,1,201703
pyquickhelper,7,71,201810
pymmails,16.04,1,201804
jyquickhelper,26,2,201803
pymmails,14.04,25,201803
pymyinstall,8,19,201708
csharpy,,198,201805
pyquickhelper,6,9,201611
pysqllike,,163,201612
jupytalk,,285,201811
pyquickhelper,10.14.2,1,201811
tkinterquickhelper,20,1,201904
pyrsslocal,2.3,1,201702
jyquickhelper,20180917,1,201810
csharpy,16.04,4,201811
pyquickhelper,10.13,4,201710
pyquickhelper,10.9,1,201702
pyrsslocal,10.10.5,1,201812
csharpy,,227,201902
pyensae,6,1,201903
mlinsights,10.14.1,1,201812
pymyinstall,2,1,201610
pyensae,10.13.4,5,201810
pyquickhelper,16.04,5,201608
mlprodict,16.04,1,201902
mlinsights,10.13.6,1,201812
jyquickhelper,6.2,1,201903
pyquickhelper,7,18,201709
pymyinstall,,12091,201602
pyensae,10.11.3,1,201611
pyensae,2.3,1,201702
mlstatpy,14.1,1,201710
jyquickhelper,16.10,1,201612
skl2onnx,8,1,201905
pyensae,,4432,201610
jyquickhelper,,1763,201609
pyquickhelper,16.04,683,201903
pymyinstall,16.04,104,201903
pymmails,10.13.3,2,201809
onnxruntime,18.3,1,201810
jyquickhelper,7,2,201712
pymyinstall,10.13.4,2,201810
pyquickhelper,18.1,1,201708
tkinterquickhelper,10.12,2,201801
skl2onnx,rolling,2,201904
skl2onnx,10.13.4,3,201905
pyensae,wheezy/sid,161,201609
pyrsslocal,10.12.3,1,201709
teachpyx,2019.1,1,201901
jyquickhelper,10.11.6,3,201810
skl2onnx,19,1,201906
pyquickhelper,10.10.5,1,201706
jyquickhelper,testing,1,201801
teachpyx,10.13.4,2,201804
jyquickhelper,7,17,201807
manydataapi,16.04,39,201905
tkinterquickhelper,10.13.6,20,201902
pyensae,10.12.3,1,201709
jyquickhelper,10.13.2,2,201711
tkinterquickhelper,2018,1,201809
pyensae,,3074,201703
pyquickhelper,16.04,8,201707
manydataapi,10.14,1,201902
lightmlrestapi,,175,201904
pyensae,,741,201810
mlstatpy,14.04,64,201711
teachpyx,,172,201809
onnxruntime,6.7,1,201902
pyensae,6.6,1,201608
nimbusml,10.14.4,2858,201905
mlstatpy,10.13,1,201710
tkinterquickhelper,16.04,83,201904
skl2onnx,,27514,201904
tkinterquickhelper,16.04,2,201708
jyquickhelper,9,1,201703
pyensae,8,2,201805
csharpyml,,116,201808
jupytalk,9,4,201707
papierstat,9,1,201811
jyquickhelper,2,1,201705
pyrsslocal,10.10.5,1,201610
pyquickhelper,7,32,201803
mlinsights,14.04,26,201805
jyquickhelper,10.12.6,4,201801
pyquickhelper,18.2,3,201904
pyrsslocal,10.13.3,1,201902
pyquickhelper,16.04,13,201712
tkinterquickhelper,17.1.12,1,201810
jyquickhelper,7,2,201802
jyquickhelper,jessie/sid,52,201706
mlinsights,18.04,3,201901
jyquickhelper,16.04,11,201801
tkinterquickhelper,10.13.3,2,201812
pyensae,8,1,201712
tkinterquickhelper,18.04,15,201808
skl2onnx,2018.03,4,201905
pymyinstall,jessie/sid,8,201706
pyensae,10.10.3,1,201812
onnxruntime,7,3,201811
pyensae,18.10,4,201812
pymyinstall,14.04,46,201702
tkinterquickhelper,10.13.6,17,201904
sparkouille,,16,201807
jyquickhelper,16.10,1,201711
tkinterquickhelper,17.10,1,201905
pyquickhelper,2018,1,201809
pyquickhelper,8.5,1,201609
papierstat,16.04,3,201905
pyensae,18.2,1,201709
pyquickhelper,,4706,201601
jyquickhelper,10.13.6,25,201906
jyquickhelper,7.4,3,201902
csharpy,16.04,2,201902
pyquickhelper,,3253,201810
jyquickhelper,10.13.3,1,201804
csharpy,16.04,1,201807
pymyinstall,7.3,1,201808
tkinterquickhelper,10.13.1,2,201712
pyquickhelper,10.14.4,18,201904
skl2onnx,10.14.1,8,201904
mlstatpy,14.04,13,201703
jyquickhelper,10.12,1,201809
cpyquickhelper,,83,201804
jyquickhelper,stretch/sid,1,201801
tkinterquickhelper,10.14.5,2,201906
papierstat,7,1,201905
jyquickhelper,10.13.4,2,201807
jyquickhelper,10.12.6,7,201902
jyquickhelper,10.13,3,201710
manydataapi,10.9.5,2,201809
mlprodict,,41,201805
pysqllike,,125,201902
pyensae,7,2,201903
pymmails,10.10.5,1,201610
pyensae,10.13.4,1,201805
manydataapi,10.13.6,1,201808
tkinterquickhelper,18.09,1,201809
mlprodict,,214,201801
pyensae,10.12.1,4,201702
jyquickhelper,16.04,12,201704
pymyinstall,18.04,5,201810
pyensae,10.14.3,4,201904
pyensae,10.11.6,2,201705
onnxruntime,8,1,201906
teachpyx,18.04,1,201902
pyquickhelper,10.13.6,19,201809
cpyquickhelper,,458,201712
teachpyx,,279,201702
pymyinstall,2,1,201705
mlinsights,16.04,123,201903
tkinterquickhelper,10.14,3,201810
pyrsslocal,wheezy/sid,149,201610
pymmails,16.04,2,201710
pymmails,10.14.2,2,201901
mlprodict,,68,201905
mlinsights,14.04,4,201804
mlstatpy,14.04,13,201804
pymmails,16.04,2,201702
pyenbc,10.12.5,2,201809
skl2onnx,10.13.6,7,201906
tkinterquickhelper,,546,201901
jyquickhelper,9,196,201901
jyquickhelper,15.0,1,201904
pyensae,9,8,201905
onnxruntime,8,1,201902
pyensae,10.13.4,3,201809
pyensae,10.12.6,1,201811
jyquickhelper,10.10.4,1,201704
jyquickhelper,6.9,1,201902
jyquickhelper,10.13.3,3,201809
pyensae,14.04,1,201606
jupytalk,,447,201702
onnxruntime,14.04,32,201902
jyquickhelper,14.04,110,201704
tkinterquickhelper,8,3,201708
jyquickhelper,1.6,2,201803
pymyinstall,,2279,201701
pyquickhelper,10.7.5,1,201602
pymyinstall,9,14,201904
pyquickhelper,10.12.6,4,201712
tkinterquickhelper,10.13.1,1,201801
pyrsslocal,10.12.4,1,201712
jyquickhelper,10.13.2,2,201810
mlinsights,18.04,21,201905
pyensae,12.2,1,201801
pyensae,10.13.1,2,201801
pyensae,10.14.1,1,201902
onnxruntime,5.11,2,201901
mlstatpy,,114,201811
jyquickhelper,8,1,201704
pymyinstall,8,1,201802
pyquickhelper,8,27,201801
skl2onnx,10.12,1,201905
pyrsslocal,10.12.6,1,201810
jyquickhelper,18.2,3,201904
pyenbc,10.10.5,1,201812
pyquickhelper,14.1,1,201710
pyquickhelper,10.13.4,5,201804
csharpyml,,101,201812
nimbusml,16.04,38866,201905
lightmlrestapi,,33,201806
pyrsslocal,unstable,1,201612
scikit-onnxruntime,10.14,1,201903
pymmails,14.04,80,201712
jyquickhelper,3.8.0,1,201810
mlstatpy,,115,201905
pyrsslocal,17.04,1,201709
onnxruntime,18.04,537,201904
pyrsslocal,10.12.5,1,201708
pyquickhelper,6.9,1,201712
mlstatpy,,120,201902
pyensae,16.04,7,201804
pyrsslocal,18.04,2,201808
nimbusml,6.10,1,201905
pymmails,,1646,201602
jyquickhelper,12.04,98,201611
skl2onnx,2.6,2,201905
pyensae,17.04,2,201811
jyquickhelper,10.14.2,3,201903
mlstatpy,2,1,201610
pyensae,10.13.5,2,201806
cpyquickhelper,7,2,201709
jyquickhelper,16.04,4,201710
pyquickhelper,17.04,1,201707
teachpyx,,127,201902
sparkouille,,46,201805
pymmails,18.04,10,201904
mlstatpy,10.12.5,1,201809
tkinterquickhelper,10.9.5,1,201706
jyquickhelper,6,12,201612
pymmails,10.10.4,1,201704
pymyinstall,,352,201902
teachpyx,16.04,1,201803
pyquickhelper,wheezy/sid,53,201605
nimbusml,7,2,201906
pyquickhelper,8,3,201902
jyquickhelper,7,37,201811
pyquickhelper,10.10.5,3,201601
tkinterquickhelper,26,1,201712
lightmlrestapi,,1277,201712
pyquickhelper,18.2,1,201710
sparkouille,,112,201804
jyquickhelper,7,2,201906
papierstat,16.04,9,201902
jyquickhelper,10.10.5,1,201709
pyensae,10.13.5,1,201812
jyquickhelper,16.04,196,201807
pyensae,,532,201905
jyquickhelper,7,35,201710
pymyinstall,16.04,5,201707
pyensae,8,6,201709
pyquickhelper,6,36,201607
pyquickhelper,15.0,1,201904
skl2onnx,10.13.4,2,201903
mlstatpy,14.1,1,201609
jyquickhelper,18.1,1,201705
jyquickhelper,jessie/sid,3,201609
skl2onnx,10.14.5,2,201904
pyquickhelper,10.13.3,9,201803
pyquickhelper,29,3,201902
pysqllike,,264,201802
onnxruntime,29,1,201812
pyensae,,3496,201709
jupytalk,16.04,1,201903
jyquickhelper,10.13.5,3,201806
pyensae,2018.03,2,201901
tkinterquickhelper,9,2,201904
pyensae,2,1,201902
pymmails,,3455,201606
jyquickhelper,10.12.1,3,201702
nimbusml,7.2,1,201811
pyensae,10.12.1,9,201612
cpyquickhelper,,1394,201707
pyrsslocal,16.04,54,201811
pyensae,10.10.5,2,201705
pyensae,2,1,201611
pyquickhelper,18.2,2,201809
jyquickhelper,7,14,201711
tkinterquickhelper,4.4,1,201901
pyquickhelper,18.3,2,201808
pyensae,,1489,201601
pymyinstall,jessie/sid,3,201704
onnxruntime,19.1,1,201903
tkinterquickhelper,18.10,2,201810
teachpyx,16.04,4,201812
pyquickhelper,14.04,165,201710
pymyinstall,10.14,1,201809
lightmlrestapi,,458,201801
jyquickhelper,10.13.4,4,201805
papierstat,9,1,201903
pyquickhelper,7,27,201809
papierstat,,55,201801
manydataapi,19.04,1,201906
mlprodict,,21,201711
pyenbc,18.0.4,1,201903
papierstat,,105,201806
pyrsslocal,9,2,201812
teachpyx,8,1,201711
pyensae,7.2,3,201602
pyrsslocal,9,27,201901
cpyquickhelper,16.04,6,201809
pyquickhelper,6.10,2,201809
pyquickhelper,29,2,201901
onnxruntime,3.8.2,2,201812
pyrsslocal,,331,201611
pyquickhelper,10.14.2,1,201905
pyquickhelper,10.13.3,1,201804
onnxruntime,4.0,1,201903
csharpy,,249,201810
pyensae,18.10,1,201901
pymyinstall,25,1,201710
skl2onnx,7.4,1,201904
pyensae,9,56,201811
pyensae,10.12.6,2,201802
pymmails,10.13.6,1,201810
manydataapi,16.04,1,201805
onnxruntime,14.04,71,201901
pymyinstall,14.04,144,201708
pyquickhelper,10.10.5,6,201609
jyquickhelper,10.11.6,7,201704
pyensae,16.04,7,201611
pyensae,7,6,201904
pysqllike,7.4,1,201712
skl2onnx,10.14.3,7,201902
jyquickhelper,10.11.3,1,201609
mlstatpy,27,1,201802
pyquickhelper,16.04,264,201905
pyensae,jessie/sid,3,201610
pyquickhelper,wheezy/sid,192,201610
jyquickhelper,18.10,1,201903
teachpyx,8,1,201612
pymmails,wheezy/sid,149,201610
pyrsslocal,wheezy/sid,83,201607
jyquickhelper,10.10.4,2,201710
pyensae,6.10,1,201808
pyquickhelper,17.1.11,1,201808
nimbusml,10.14,6,201905
lightmlboard,,241,201805
pymyinstall,10.10.5,1,201702
pyquickhelper,14.04,1,201609
mlinsights,,931,201901
pyensae,10.11.5,5,201706
pyquickhelper,28,1,201809
skl2onnx,10.13.2,1,201905
pymmails,wheezy/sid,15,201605
pyensae,16.04,192,201901
pyquickhelper,15.5,2,201804
manydataapi,10.12.6,1,201810
pyenbc,,124,201712
mlstatpy,17.04,1,201709
jyquickhelper,10.14.2,1,201905
pyquickhelper,9,46,201807
pyensae,25,1,201903
sparkouille,,21,201906
skl2onnx,10.12.6,11,201903
skl2onnx,9,15,201902
pyquickhelper,10.12,1,201809
csharpyml,,53,201806
tkinterquickhelper,,445,201810
jyquickhelper,10.13.6,5,201808
mlstatpy,9,1,201802
jyquickhelper,6.10,1,201905
skl2onnx,7,12,201903
jyquickhelper,9,14,201805
nimbusml,16.04,12396,201906
mlstatpy,,615,201706
lightmlboard,,403,201801
skl2onnx,4.0,2,201904
onnxruntime,2018.03,8,201903
jupytalk,17.04,1,201801
papierstat,16.04,1,201806
pyensae,,210,201806
teachpyx,2019.1,1,201812
pyquickhelper,10.12,3,201611
pyquickhelper,6.9,2,201802
mlinsights,8,1,201807
pyensae,18.04,16,201906
pyquickhelper,19,1,201811
tkinterquickhelper,rolling,1,201807
pyquickhelper,16.04,3,201708
pymmails,14.1,1,201710
pymmails,16.04,2,201704
jyquickhelper,18.10,3,201812
jupytalk,8,4,201707
pymmails,,919,201706
pymyinstall,9,10,201707
pyquickhelper,10.11.3,1,201611
mlstatpy,16.04,1,201711
pymmails,7,1,201705
jyquickhelper,10.12,1,201905
pysqllike,5.0,1,201901
pyquickhelper,18.08,5,201903
jyquickhelper,18.04,74,201904
pymmails,,1416,201705
lightmlboard,16.04,3,201803
pymyinstall,18.1,1,201710
onnxruntime,10.14.3,21,201905
onnxruntime,8.11,1,201811
pyensae,,2765,201605
jupytalk,6.2,1,201609
pymyinstall,16.04,1,201605
onnxruntime,2018.03,30,201901
tkinterquickhelper,10.13.2,1,201801
pyensae,10.13.5,1,201807
pyensae,18.04,2,201805
pymmails,6.4,1,201603
pyquickhelper,14.04,140,201706
mlstatpy,16.04,5,201709
pyquickhelper,20180925,1,201809
pyquickhelper,6.10,1,201807
pymyinstall,8,3,201807
lightmlrestapi,,217,201903
jyquickhelper,10.13.5,2,201807
pymmails,10.10.3,1,201812
pyenbc,16.04,1,201805
pyensae,10.8.5,1,201711
pymyinstall,18.04,13,201902
onnxruntime,7.6,1,201906
teachpyx,16.04,2,201902
csharpy,,190,201812
jyquickhelper,stretch/sid,6,201711
cpyquickhelper,16.04,1,201709
pysqllike,2,1,201611
jyquickhelper,10.10.5,1,201701
pyquickhelper,wheezy/sid,165,201607
manydataapi,,193,201805
onnxruntime,10.13.4,1,201906
pyquickhelper,2018.2,1,201810
tkinterquickhelper,2018.03,1,201905
csharpyml,,110,201903
skl2onnx,19,2,201902
jyquickhelper,9,9,201906
pyensae,jessie/sid,6,201705
tkinterquickhelper,2017.1,1,201708
mlprodict,,57,201904
jyquickhelper,18.04,5,201807
pyensae,10.14.2,1,201905
pyquickhelper,3.5.2,14,201704
onnxruntime,10.13.5,1,201812
csharpyml,16.04,1,201905
pyrsslocal,wheezy/sid,8,201603
skl2onnx,10.14.5,1370,201906
pyquickhelper,8,4,201810
pymmails,18,1,201902
pyquickhelper,10.11.6,2,201711
pyenbc,16.04,31,201811
mlstatpy,14.04,15,201707
pyensae,26,1,201801
pyquickhelper,10.14,10,201903
jyquickhelper,wheezy/sid,62,201609
jyquickhelper,2018.03,2,201901
pyquickhelper,10.13.6,24,201810
pymyinstall,16.10,1,201611
pyensae,10.13.6,14,201809
skl2onnx,0.4.1,2,201903
csharpy,,233,201808
mlstatpy,10.14.3,1,201904
skl2onnx,rolling,6,201903
pymyinstall,9,158,201810
pymmails,,923,201712
onnxruntime,14.04,78,201905
pyquickhelper,16.04,9,201803
skl2onnx,19.04,2,201906
pyquickhelper,10.14.3,2,201901
lightmlrestapi,14.04,2,201807
pyensae,jessie/sid,1,201712
csharpy,14.04,1,201904
pyquickhelper,,32001,201608
onnxruntime,10.13.3,1,201812
jyquickhelper,13.10,1,201610
pymmails,16.04,2,201803
pyquickhelper,14.04,68,201807
pysqllike,,177,201611
pyrsslocal,14.04,49,201704
pyrsslocal,jessie/sid,1,201606
jyquickhelper,7,1,201705
jyquickhelper,2019.1,1,201903
pyquickhelper,10.12.4,3,201808
mlstatpy,14.04,51,201710
nimbusml,18.04,4,201903
jyquickhelper,17.04,1,201809
mlstatpy,10.11.6,1,201705
pyquickhelper,wheezy/sid,312,201609
pymmails,14.04,1,201603
jyquickhelper,6.8,1,201701
pyquickhelper,7,31,201903
pymyinstall,10.10.5,1,201812
onnxruntime,10.14.4,11,201906
pyquickhelper,27,1,201711
pyquickhelper,10.12.5,7,201708
pyquickhelper,10.12.6,1,201904
cpyquickhelper,18.04,1,201901
tkinterquickhelper,10.14.5,1,201904
pymmails,10.13.2,1,201712
onnxruntime,2018.03,17,201902
pymyinstall,7,1,201902
mlinsights,9,22,201901
jyquickhelper,10.11.6,3,201811
pyensae,15.5,1,201803
pyquickhelper,stretch/sid,1,201801
teachpyx,,332,201611
mlstatpy,14.04,13,201702
jyquickhelper,14.04,11,201812
teachpyx,,870,201710
jupytalk,16.04,1,201905
pyquickhelper,8,47,201707
jyquickhelper,10.11.4,2,201610
pyrsslocal,10.9.5,1,201709
csharpyml,18.04,1,201812
csharpy,8,13,201808
mlstatpy,10.12.1,1,201611
tkinterquickhelper,10.14.2,1,201903
pyquickhelper,10.10.5,3,201610
pymyinstall,,3262,201706
mlprodict,,25,201906
nimbusml,10.14.5,1130,201905
jyquickhelper,10.10.5,1,201809
